candidate_id,discipline,source,flight_id,segment_id,split,window_start,window_end,complete_segment,season_year,date,takeoff,duration_flight_s,path_km,alt_range_m,dt_native_s
para-tra-01,paragliders,paraglider,20264698,0,train,20.0,5780.0,True,2018,2019-05-23,Saint-Hilaire,5795.0,48.877496611677614,1273.0,1.0
para-tra-02,paragliders,paraglider,20278529,0,train,30.0,1820.0,True,2019,2019-10-10,Colimaçons 800,2652.0,20.46436914259984,1076.0,5.0
para-tra-03,paragliders,paraglider,20373228,0,train,40.0,3690.0,True,2024,2025-03-27,andradas,3720.0,26.935302703670356,1595.0,10.0
para-tra-04,paragliders,paraglider,20315046,0,train,4350.0,7310.0,True,2021,2022-03-12,dÃ©collage de Dos d'Ane,7324.0,74.14497458908282,2861.0,1.0
para-val-01,paragliders,paraglider,20271280,0,validation,800.0,2600.0,False,2018,2019-07-16,Saint Hilaire s,9587.0,84.51648326230396,1596.0,1.0
para-val-02,paragliders,paraglider,20090489,0,validation,4640.0,6440.0,False,2009,2009-11-30,Décollage des Colimaçons,10210.0,86.70124751679056,608.0,10.0
para-val-03,paragliders,paraglider,20337312,0,validation,680.0,2480.0,False,2022,2023-03-17,Déco El Bosque,3710.0,27.04897573475722,913.0,5.0
para-val-04,paragliders,paraglider,20143351,0,validation,10280.0,12080.0,False,2013,2014-04-11,Wether Fell,18023.0,182.67155792680123,1442.0,5.0
para-val-05,paragliders,paraglider,20137664,0,validation,23600.0,25400.0,False,2013,2013-11-07,QUIXADA,35158.0,524.6808819713925,2828.0,1.0
para-val-06,paragliders,paraglider,20355007,14,validation,8696.0,10496.0,False,2023,2024-01-02,The coronet,24951.0,221.99391127749345,2851.0,1.0
para-val-07,paragliders,paraglider,20290223,5,validation,5613.0,7413.0,False,2019,2020-08-08,Schmittenhöhe,10708.0,84.42389464056424,2052.0,10.0
para-val-08,paragliders,paraglider,20040498,1,validation,5154.0,5814.0,False,2004,2005-04-28,SUPERBAGNERES,15736.0,177.16553655803983,3560.0,5.0
para-tes-01,paragliders,paraglider,20259317,2,test,6623.0,8423.0,False,2018,2019-03-30,Saint Hilaire sud,9043.0,90.55919012734489,1554.0,1.0
para-tes-02,paragliders,paraglider,20179769,0,test,11610.0,13410.0,False,2015,2015-11-10,QUIXADA,39732.0,496.5493395520847,3305.0,5.0
para-tes-03,paragliders,paraglider,20081923,0,test,2080.0,3880.0,False,2008,2009-05-17,COLIMACON,8525.0,62.068065599220375,604.0,10.0
para-tes-04,paragliders,paraglider,20339633,0,test,590.0,2390.0,False,2022,2023-04-26,Glamaig,2456.0,24.295829175285224,659.0,1.0
para-tes-05,paragliders,paraglider,20388870,0,test,2210.0,2800.0,False,2025,2026-02-10,Taucho,2810.0,24.932424652983617,757.0,1.0
para-tes-06,paragliders,paraglider,20355563,0,test,20460.0,21210.0,False,2023,2024-02-19,panchgani est,21775.0,261.9706488857256,3196.0,1.0
para-tes-07,paragliders,paraglider,20061683,0,test,2550.0,4350.0,False,2006,2007-06-02,"Couffé ""la guilladière (treuil",10392.0,101.61874656233773,1481.0,5.0
para-tes-08,paragliders,paraglider,20277923,0,test,910.0,2710.0,False,2019,2019-09-24,col Rodella,9255.0,78.79387561421453,1121.0,5.0
hang-tra-01,hang gliders,hangglider,20218675,0,train,30.0,6580.0,True,2016,2017-06-14,Aspres,6597.0,87.4744612735216,1816.0,3.0
hang-tra-02,hang gliders,hangglider,20358522,0,train,20.0,3620.0,True,2023,2024-05-06,Décollage de Bellemène,3629.0,42.161015167668694,999.0,1.0
hang-tra-03,hang gliders,hangglider,20279215,0,train,20.0,3300.0,True,2019,2019-12-11,Mala,6366.0,85.26650135804654,724.0,1.0
hang-tra-04,hang gliders,hangglider,20372443,0,train,40.0,7900.0,True,2024,2025-03-16,Mesnil-Follemprise,7932.0,93.99689033994213,1018.0,10.0
hang-val-01,hang gliders,hangglider,20209651,0,validation,2710.0,4510.0,False,2016,2017-04-08,Chabre Sud,9515.0,150.78899847536206,2289.0,5.0
hang-val-02,hang gliders,hangglider,20167462,0,validation,1010.0,2400.0,False,2014,2015-06-06,les 2 Amants,3110.0,32.398347102990805,857.0,10.0
hang-val-03,hang gliders,hangglider,20264181,0,validation,1700.0,3500.0,False,2018,2018-11-05,falaise famara,4796.0,49.47986488647447,743.0,1.0
hang-val-04,hang gliders,hangglider,2238,0,validation,6730.0,8530.0,False,2006,2007-07-29,CACERES Espagne,21901.0,430.2212924549067,3807.0,10.0
hang-val-05,hang gliders,hangglider,20291816,0,validation,3240.0,5040.0,False,2019,2020-08-23,Les Colimaçons,8199.0,93.08907362960662,1292.0,1.0
hang-val-06,hang gliders,hangglider,20380877,0,validation,6610.0,8410.0,False,2024,2025-06-17,Egry,25296.0,569.6647155514611,1985.0,2.0
hang-val-07,hang gliders,hangglider,20361392,0,validation,5640.0,7310.0,False,2023,2024-05-28,Kandel,13049.0,207.72271236532606,2146.0,1.0
hang-val-08,hang gliders,hangglider,20358030,0,validation,20.0,940.0,False,2023,2023-12-16,Kennedy,3581.0,38.120308899581055,648.0,1.0
hang-tes-01,hang gliders,hangglider,20251149,0,test,360.0,460.0,False,2017,2018-08-28,Chabre Sud,11266.0,175.79080395942682,2036.0,3.0
hang-tes-02,hang gliders,hangglider,20317073,0,test,2530.0,4330.0,False,2021,2022-04-02,Landemer,5205.0,59.069125848000795,846.0,1.0
hang-tes-03,hang gliders,hangglider,20119186,0,test,8610.0,10410.0,False,2011,2012-07-19,Terrain Caceres,26752.0,413.61082941963997,4242.0,10.0
hang-tes-04,hang gliders,hangglider,20229663,0,test,10450.0,12250.0,False,2017,2017-12-30,Burgsdorf,13102.0,291.52286476513444,3967.0,4.0
hang-tes-05,hang gliders,hangglider,20356734,0,test,160.0,1960.0,False,2023,2024-04-02,Estavar,4495.0,46.80841770157429,894.0,2.0
hang-tes-06,hang gliders,hangglider,20126720,0,test,13010.0,14040.0,False,2012,2013-04-25,Déco Ouest du Kandel,17021.0,285.07306011744225,2307.0,5.0
hang-tes-07,hang gliders,hangglider,20135984,0,test,1150.0,2950.0,False,2012,2013-07-24,Monte Cucco Sud,3014.0,37.09646555420888,1298.0,1.0
hang-tes-08,hang gliders,hangglider,20186034,0,test,3770.0,5570.0,False,2015,2016-05-05,Volmerange-les-Mines,6920.0,80.25991377403953,874.0,5.0
