season_year,season,list_url,xml_url,n_flights,n_with_igc,n_downloaded
2001,2001-2002,https://delta.ffvl.fr/cfd/liste/2001,https://delta.ffvl.fr/cfd/liste/2001?xml=1,248,0,0
2002,2002-2003,https://delta.ffvl.fr/cfd/liste/2002,https://delta.ffvl.fr/cfd/liste/2002?xml=1,281,6,6
2003,2003-2004,https://delta.ffvl.fr/cfd/liste/2003,https://delta.ffvl.fr/cfd/liste/2003?xml=1,256,28,25
2004,2004-2005,https://delta.ffvl.fr/cfd/liste/2004,https://delta.ffvl.fr/cfd/liste/2004?xml=1,244,35,25
2005,2005-2006,https://delta.ffvl.fr/cfd/liste/2005,https://delta.ffvl.fr/cfd/liste/2005?xml=1,365,80,76
2006,2006-2007,https://delta.ffvl.fr/cfd/liste/2006,https://delta.ffvl.fr/cfd/liste/2006?xml=1,337,100,96
2007,2007-2008,https://delta.ffvl.fr/cfd/liste/2007,https://delta.ffvl.fr/cfd/liste/2007?xml=1,388,136,132
2008,2008-2009,https://delta.ffvl.fr/cfd/liste/2008,https://delta.ffvl.fr/cfd/liste/2008?xml=1,344,155,155
2009,2009-2010,https://delta.ffvl.fr/cfd/liste/2009,https://delta.ffvl.fr/cfd/liste/2009?xml=1,324,136,136
2010,2010-2011,https://delta.ffvl.fr/cfd/liste/2010,https://delta.ffvl.fr/cfd/liste/2010?xml=1,425,147,147
2011,2011-2012,https://delta.ffvl.fr/cfd/liste/2011,https://delta.ffvl.fr/cfd/liste/2011?xml=1,117,103,103
2012,2012-2013,https://delta.ffvl.fr/cfd/liste/2012,https://delta.ffvl.fr/cfd/liste/2012?xml=1,428,406,406
2013,2013-2014,https://delta.ffvl.fr/cfd/liste/2013,https://delta.ffvl.fr/cfd/liste/2013?xml=1,423,409,409
2014,2014-2015,https://delta.ffvl.fr/cfd/liste/2014,https://delta.ffvl.fr/cfd/liste/2014?xml=1,628,595,591
2015,2015-2016,https://delta.ffvl.fr/cfd/liste/2015,https://delta.ffvl.fr/cfd/liste/2015?xml=1,417,413,413
2016,2016-2017,https://delta.ffvl.fr/cfd/liste/2016,https://delta.ffvl.fr/cfd/liste/2016?xml=1,468,462,462
2017,2017-2018,https://delta.ffvl.fr/cfd/liste/2017,https://delta.ffvl.fr/cfd/liste/2017?xml=1,342,331,331
2018,2018-2019,https://delta.ffvl.fr/cfd/liste/2018,https://delta.ffvl.fr/cfd/liste/2018?xml=1,604,594,594
2019,2019-2020,https://delta.ffvl.fr/cfd/liste/2019,https://delta.ffvl.fr/cfd/liste/2019?xml=1,378,373,373
2020,2020-2021,https://delta.ffvl.fr/cfd/liste/2020,https://delta.ffvl.fr/cfd/liste/2020?xml=1,328,328,328
2021,2021-2022,https://delta.ffvl.fr/cfd/liste/2021,https://delta.ffvl.fr/cfd/liste/2021?xml=1,570,568,568
2022,2022-2023,https://delta.ffvl.fr/cfd/liste/2022,https://delta.ffvl.fr/cfd/liste/2022?xml=1,376,374,374
2023,2023-2024,https://delta.ffvl.fr/cfd/liste/2023,https://delta.ffvl.fr/cfd/liste/2023?xml=1,437,437,436
2024,2024-2025,https://delta.ffvl.fr/cfd/liste/2024,https://delta.ffvl.fr/cfd/liste/2024?xml=1,353,352,352
2025,2025-2026,https://delta.ffvl.fr/cfd/liste/2025,https://delta.ffvl.fr/cfd/liste/2025?xml=1,178,178,178
