x,y,utc,discipline,flight_id
940543.4182535553,6522827.506283775,1370439552.0,hang gliders,20129063
940916.7325780994,6521907.374686149,1370612224.0,hang gliders,20129300
940282.8622245694,6523137.878391238,1372600832.0,hang gliders,20130563
940072.1013549222,6524867.590895044,1373211520.0,hang gliders,20131742
944875.4298071741,6524353.120890101,1400936064.0,hang gliders,20146021
943442.6046840944,6522468.0646427795,1409149824.0,hang gliders,20152988
940005.2148710513,6524859.743575233,1530457344.0,hang gliders,20245260
944112.8704251488,6522534.828947206,1623771264.0,hang gliders,20303766
942181.4904327127,6520231.975332468,1651418112.0,hang gliders,20319784
944310.5245647912,6520430.448743015,1145722240.0,paragliders,20050597
940077.6119408777,6524923.1948597,1189868928.0,paragliders,20070139
940104.9547341295,6524909.819480168,1250694528.0,paragliders,20084140
940015.7921358985,6524909.65666595,1268581376.0,paragliders,20090598
940023.580786839,6524848.308002106,1280934656.0,paragliders,20094083
940159.9949104583,6524989.6821841765,1301755776.0,paragliders,20101855
940000.8977813245,6524986.655114051,1303050112.0,paragliders,20103025
940035.0861416033,6524961.756297462,1304257664.0,paragliders,20104210
940024.5375853182,6524918.177899659,1305306368.0,paragliders,20104956
941739.1483580737,6524698.797741401,1307369088.0,paragliders,20106126
944986.4140151764,6521317.743154083,1307882368.0,paragliders,20106223
943426.7335581522,6520956.805040322,1307711488.0,paragliders,20106315
940076.9452454773,6524895.900534259,1307714304.0,paragliders,20106315
940008.2797103074,6524931.105127677,1309886080.0,paragliders,20107126
940034.881312575,6524882.226784019,1330790656.0,paragliders,20111063
941282.7160832518,6522046.617994724,1336048768.0,paragliders,20113778
940026.5889443608,6524923.774804805,1341405184.0,paragliders,20117552
940004.2241558016,6524807.63256175,1341405568.0,paragliders,20117552
940058.4617964479,6524996.143596759,1366814208.0,paragliders,20126260
940005.6472436333,6524977.789125765,1366209280.0,paragliders,20126672
940090.1650709215,6524974.43816588,1367937408.0,paragliders,20127371
940037.6702662667,6524932.95905859,1376657792.0,paragliders,20134110
940003.4932825677,6524862.502209813,1396359808.0,paragliders,20140646
940130.1241189396,6524986.528775488,1396363136.0,paragliders,20140646
940118.560664017,6524946.849092171,1397227264.0,paragliders,20141633
940129.2653108803,6524971.079420496,1397311744.0,paragliders,20141830
940010.9284688663,6524968.2751649255,1397309952.0,paragliders,20141880
944862.9526983043,6521104.859048617,1400415360.0,paragliders,20145660
940071.7978559801,6524933.4633887615,1400937088.0,paragliders,20146022
940000.3833757635,6524827.50574882,1400418944.0,paragliders,20146395
943666.9571298104,6520511.847417375,1401542272.0,paragliders,20146511
940040.3149470112,6524998.09116277,1403364992.0,paragliders,20148578
940288.8490509598,6522801.5131729515,1405439488.0,paragliders,20150058
940132.1236152063,6524955.699657472,1409236096.0,paragliders,20153152
940403.6418288612,6523166.953296101,1428840448.0,paragliders,20161666
940014.8219674991,6524952.90642164,1429624064.0,paragliders,20162037
940074.6424027459,6524970.467805891,1429708288.0,paragliders,20162348
941567.570379733,6523912.46738631,1430562176.0,paragliders,20163354
941615.6457769081,6523694.853071413,1430562048.0,paragliders,20163356
940089.1278373618,6524875.42289186,1431958528.0,paragliders,20165281
940019.3741223871,6524887.787822023,1432991360.0,paragliders,20166089
940120.9769691513,6524915.509814585,1432991488.0,paragliders,20166118
940116.2468920328,6524960.108444016,1434036480.0,paragliders,20167919
943923.787650987,6520200.078951089,1434810240.0,paragliders,20170189
940065.3217932336,6524879.84518043,1435758720.0,paragliders,20170396
940046.215888959,6524949.391907637,1435758848.0,paragliders,20170396
940058.0348496861,6524927.61731906,1435758848.0,paragliders,20170396
940048.9270490948,6524906.502934213,1435758848.0,paragliders,20170396
940022.3450313252,6524971.57863002,1436887296.0,paragliders,20171744
940004.3653320912,6524989.277878885,1438876416.0,paragliders,20174169
940094.3490785614,6524977.692264454,1441806720.0,paragliders,20177443
940060.2996957593,6524940.128765549,1441806720.0,paragliders,20177443
941558.5387914064,6521709.992130093,1457351552.0,paragliders,20180949
941254.3887927587,6521878.874562042,1458219392.0,paragliders,20181576
940075.9272911471,6524988.869470078,1460642816.0,paragliders,20183606
940007.4672764627,6524808.0230057305,1461595136.0,paragliders,20184370
941461.1987085595,6521735.145962657,1461855360.0,paragliders,20184700
940084.0028227088,6524903.125550323,1462543872.0,paragliders,20186520
940046.4068281092,6524834.120096871,1462544256.0,paragliders,20186895
940019.6221948224,6524823.936866472,1463753600.0,paragliders,20188069
940009.6092503896,6524926.262937577,1465227392.0,paragliders,20189193
940065.6566390254,6524949.500379122,1466687104.0,paragliders,20190398
940026.6872279759,6524845.857166904,1467553280.0,paragliders,20191805
940011.4617934639,6524889.741521662,1469709952.0,paragliders,20194809
940078.3296168327,6524917.7634948455,1471097472.0,paragliders,20197465
940059.6124829677,6524919.129742527,1471097472.0,paragliders,20197465
940009.0442127603,6524886.498390498,1471101056.0,paragliders,20197883
940029.5451725482,6524945.4682679195,1472304384.0,paragliders,20199041
940042.6658300166,6524932.054011186,1472389120.0,paragliders,20199232
940016.3869183809,6524846.906597344,1472389376.0,paragliders,20199232
940020.1585705201,6524965.710136536,1472742144.0,paragliders,20199957
940114.5206098555,6524883.992517442,1473347328.0,paragliders,20200827
940140.5834143998,6524920.154298227,1473347456.0,paragliders,20200827
940031.9592675174,6524956.4592245,1473348224.0,paragliders,20200867
940039.6290660317,6524848.5197525965,1473779584.0,paragliders,20201634
940066.9268047814,6524942.018174857,1473345664.0,paragliders,20205567
940020.5661252362,6524959.844061006,1490804480.0,paragliders,20208009
940853.2210140191,6522751.308554132,1490786048.0,paragliders,20208096
