x,y,utc,discipline,flight_id
844877.8706265392,6943137.984349216,1175434368.0,paragliders,20060400
841258.7882445251,6944670.463090945,1222515840.0,paragliders,20080167
842599.6440544629,6941169.727092772,1336908800.0,paragliders,20114743
843774.2501248568,6943986.129169219,1397646464.0,paragliders,20142506
844536.2425463401,6941600.573409727,1426252288.0,paragliders,20158152
843301.3319911665,6941250.478067311,1429787392.0,paragliders,20162476
842323.4609543383,6943287.978522789,1432478848.0,paragliders,20165431
840721.8328041217,6941270.981346044,1438343552.0,paragliders,20173504
840965.2360730154,6940368.076804539,1444477824.0,paragliders,20178862
840701.7864712868,6940236.1178979,1444478080.0,paragliders,20178868
841264.5555895797,6940449.460597239,1444477952.0,paragliders,20178899
840209.3090402783,6944443.05885172,1471347328.0,paragliders,20197843
840399.7557704264,6943329.454666665,1497440640.0,paragliders,20218663
842177.1305711933,6940050.434472246,1497796992.0,paragliders,20218907
841086.4358985535,6940067.87120503,1525612032.0,paragliders,20238185
840099.8069372108,6940913.254450723,1525607680.0,paragliders,20238252
841062.2378479523,6940494.555912429,1525515776.0,paragliders,20238279
844383.9321871622,6941136.007513578,1525706368.0,paragliders,20238410
843745.382068886,6940576.090637388,1530448896.0,paragliders,20247949
840112.3221181056,6941025.700654749,1526817920.0,paragliders,20247951
844548.6143515102,6941774.34563969,1535801344.0,paragliders,20251315
844477.8236045134,6941713.174223949,1535801344.0,paragliders,20251315
844447.8435064631,6941716.000121759,1535801344.0,paragliders,20251315
842422.9460992435,6941532.772911195,1535884800.0,paragliders,20251877
844196.7973323779,6940041.6693971455,1562234240.0,paragliders,20270574
844200.2695228577,6940019.856669914,1562234240.0,paragliders,20270574
844197.5249363397,6940012.080518026,1562234240.0,paragliders,20270574
840818.3455579886,6941487.858376261,1566562432.0,paragliders,20274972
844523.3821346418,6941323.324090973,1568458624.0,paragliders,20277266
840499.3522432909,6942265.569224817,1596539264.0,paragliders,20289823
844504.1147629535,6942367.108399695,1614519552.0,paragliders,20296849
841201.8952930251,6940984.396037051,1614520064.0,paragliders,20296849
841814.5888576732,6943562.898943117,1615034368.0,paragliders,20297184
841798.9882726575,6943541.420377823,1615034368.0,paragliders,20297184
844782.4486358367,6940910.2827831395,1622201856.0,paragliders,20301660
841754.3867898626,6940398.506641029,1629887104.0,paragliders,20308313
841667.0288063616,6940391.7512906585,1629887104.0,paragliders,20308313
844432.9032882839,6941340.786105018,1629888640.0,paragliders,20308427
842276.2262389729,6940028.2903519645,1629887232.0,paragliders,20308808
843302.1601708148,6944555.532738634,1630668416.0,paragliders,20309031
841888.2797547611,6944456.818658205,1631537792.0,paragliders,20310127
841848.6730788999,6944453.728089694,1631537792.0,paragliders,20310127
841874.4802405189,6944556.129751308,1631537792.0,paragliders,20310127
844110.1646959415,6942031.598191208,1631967104.0,paragliders,20310510
843868.7898687068,6942167.72909168,1631967232.0,paragliders,20310573
842487.9985947055,6943185.534043651,1631967872.0,paragliders,20310573
844433.8432270369,6941967.230806902,1648378112.0,paragliders,20316605
840999.0607965852,6942255.495723246,1650623104.0,paragliders,20318808
840507.4214358934,6941870.277646793,1650623104.0,paragliders,20318857
840784.0006201816,6942278.770236029,1650623232.0,paragliders,20318869
840784.3627955072,6942278.014994932,1650623232.0,paragliders,20318869
840779.908760332,6942254.232020548,1650623232.0,paragliders,20318869
840336.2734669618,6941647.746959261,1651059328.0,paragliders,20319056
843578.3474921816,6940859.160503541,1651060096.0,paragliders,20319108
843575.6591623508,6940872.957829862,1651060096.0,paragliders,20319574
842407.0680267984,6941528.285176364,1654178560.0,paragliders,20323289
840148.7824292406,6940661.574645981,1685185280.0,paragliders,20342030
841618.8675531538,6940078.933597787,1685288448.0,paragliders,20342227
843615.8957805737,6940777.53647404,1685189120.0,paragliders,20342492
844198.0075710417,6940623.763806681,1685959552.0,paragliders,20343013
843903.493261538,6940261.627971838,1685795968.0,paragliders,20343025
840007.0553679059,6940361.899166004,1686048384.0,paragliders,20343304
842028.487473873,6944050.010681008,1686317184.0,paragliders,20343551
840379.4579160692,6940852.3928806335,1686051200.0,paragliders,20343828
843467.1961075057,6940145.22038484,1719315712.0,paragliders,20362760
842229.2623700871,6940820.24766953,1723379968.0,paragliders,20366623
844006.8458136537,6940565.743051606,1746702592.0,paragliders,20376557
844921.8113030258,6941942.854713992,1746785536.0,paragliders,20376698
847753.8040129,6941148.419570132,1081772032.0,paragliders,20030257
848687.5599168026,6941303.034256992,1127040000.0,paragliders,20050126
848149.0667662014,6942037.816041665,1175433856.0,paragliders,20060400
847871.9451889216,6942429.127073917,1175439488.0,paragliders,20060401
848687.5787394585,6942102.97375944,1175517568.0,paragliders,20060409
848660.5021150787,6942073.177113627,1175517568.0,paragliders,20060409
848483.3583048672,6941892.519272907,1175517568.0,paragliders,20060409
848539.9458385655,6942085.090128029,1177941504.0,paragliders,20061386
848452.1461117385,6942904.554783622,1177934464.0,paragliders,20061389
847358.260435787,6941899.653252452,1177943296.0,paragliders,20061390
848583.5282943854,6942004.1006552465,1189684224.0,paragliders,20070105
848363.7221565251,6941656.465997295,1221400960.0,paragliders,20080082
847733.9656868471,6940578.885368454,1221399424.0,paragliders,20080104
848482.4376971346,6940903.808687075,1238512000.0,paragliders,20080743
848109.3674190922,6942351.928730827,1332339968.0,paragliders,20111667
848376.669073413,6942588.961782451,1332676096.0,paragliders,20112177
848829.6884725553,6941409.4841425065,1336902272.0,paragliders,20114743
848623.7081700506,6941298.399716146,1336900480.0,paragliders,20114816
848379.6520156944,6941484.503546275,1343045760.0,paragliders,20118456
848559.4817160097,6941614.807310272,1346924800.0,paragliders,20121325
847835.578162583,6942419.497680695,1365326336.0,paragliders,20124539
848366.2393099664,6942622.138714077,1365330944.0,paragliders,20124656
848922.4857877888,6942067.0354073895,1365332864.0,paragliders,20124656
848328.8871862752,6942202.425259783,1370433920.0,paragliders,20129072
848731.1874796123,6942592.313891188,1370435200.0,paragliders,20129084
846510.7624434738,6942140.506724574,1370690176.0,paragliders,20129433
