x,y,utc,discipline,flight_id
484238.3918878504,6183602.353139932,1497788416.0,paragliders,20218927
481763.55101020524,6181140.408588299,1657453184.0,paragliders,20325981
484419.6928891778,6180751.416378612,1697111247.9555657,paragliders,20354114
489417.33017195476,6184582.860777771,1317556480.0,paragliders,20109574
489443.4034558407,6184648.80254384,1317557760.0,paragliders,20109574
489202.20888884395,6184692.3661855515,1317556352.0,paragliders,20109608
487179.571225319,6184065.981864222,1471344000.0,paragliders,20197842
489441.07672571327,6184614.200716298,1471344512.0,paragliders,20197842
489119.3373132955,6184520.842837678,1495715200.0,paragliders,20215657
488628.46565871657,6182341.283909626,1566650112.0,paragliders,20275072
487186.6597231443,6184541.945713602,1695728256.0,paragliders,20352921
487478.78934748884,6181551.722303675,1750418048.0,paragliders,20380133
487505.7930902057,6181601.700598145,1750418176.0,paragliders,20380133
487401.4440039808,6181563.040568356,1750418176.0,paragliders,20380133
487415.7530470029,6181593.520341558,1750418176.0,paragliders,20380133
487382.8956250267,6181576.668347861,1750418176.0,paragliders,20380133
487599.607924903,6181392.223474778,1750418048.0,paragliders,20380846
494418.8614031684,6183461.768007552,1494929280.0,paragliders,20214164
494135.03214018204,6184411.5543854395,1495879680.0,paragliders,20216017
490256.9133945086,6183050.306408078,1695556224.0,paragliders,20352808
495758.22427721566,6184885.381193867,1272456832.0,paragliders,20092201
495852.61945789045,6184749.955979976,1414851328.0,paragliders,20156248
495648.39872764435,6184919.2072354695,1431348352.0,paragliders,20164153
495977.74535241927,6184736.579291698,1445607680.0,paragliders,20179186
495852.6574499981,6184763.535359801,1445608704.0,paragliders,20179186
495589.6014183059,6184807.925346148,1463752832.0,paragliders,20188038
496040.9791677732,6184675.284895032,1471345920.0,paragliders,20197842
496079.5363440303,6184612.549497206,1471345920.0,paragliders,20197842
496053.6996587137,6184653.573998818,1471345920.0,paragliders,20197842
496069.4919552606,6184719.077292873,1471346048.0,paragliders,20197842
496227.550424165,6184180.170715297,1475154304.0,paragliders,20202553
496169.22262105497,6184148.370229039,1475154304.0,paragliders,20202553
496271.79303609836,6184392.225562898,1475154304.0,paragliders,20202553
496286.02134697733,6184373.669347762,1475156224.0,paragliders,20202553
496029.3885240798,6184631.35128674,1489675392.0,paragliders,20206398
495826.77966228226,6184631.965806076,1492866304.0,paragliders,20211849
499460.30597925663,6182517.10901659,1499173632.0,paragliders,20220422
497273.4317974659,6184250.578584905,1499174272.0,paragliders,20220422
499867.4991350017,6182221.382546873,1499172992.0,paragliders,20220448
497478.23127149703,6184389.1242736215,1499173632.0,paragliders,20220448
497522.40432462684,6184345.1606904855,1503396736.0,paragliders,20224507
497524.9894790445,6184343.100970682,1503396736.0,paragliders,20224507
497535.07510074845,6184376.70626616,1503396736.0,paragliders,20224507
496700.99774192885,6184907.914630974,1506165376.0,paragliders,20226567
497723.8963966681,6184022.909341825,1506165120.0,paragliders,20226591
497599.5331859784,6184131.722960778,1509017984.0,paragliders,20228583
496222.2365338278,6184615.9761467,1538746624.0,paragliders,20254583
496222.91184169706,6184582.567127626,1538746624.0,paragliders,20254583
496215.58590883354,6184590.814476355,1538746624.0,paragliders,20254583
497578.2072779574,6184096.664076211,1538734720.0,paragliders,20254636
497505.71178546024,6184179.724985699,1561716736.0,paragliders,20269937
495934.37174053135,6184815.7081218045,1589984128.0,paragliders,20280910
497846.50725648704,6184023.637996577,1596804608.0,paragliders,20290131
499004.2355924035,6182499.712903192,1623161344.0,paragliders,20302669
495514.04096003564,6184816.839751515,1650118272.0,paragliders,20318492
495650.2473870698,6184722.30310785,1650209536.0,paragliders,20318494
495690.6059169779,6184669.160065518,1650210944.0,paragliders,20318494
