ix,iy,crossings
955,6278,46
956,6278,27
956,6279,15
942,6290,3
943,6290,30
957,6290,14
955,6291,3
956,6291,63
957,6291,29
1007,6291,45
1008,6291,2
1011,6291,8
956,6292,2
1005,6294,4
1013,6294,3
945,6295,17
946,6295,4
951,6295,20
952,6295,34
953,6295,31
954,6295,45
955,6295,33
1004,6295,11
1005,6295,9
1013,6295,5
1014,6295,9
1019,6295,16
1020,6295,14
945,6296,51
946,6296,87
947,6296,17
1011,6296,2
1019,6296,24
1020,6296,8
944,6297,17
945,6297,105
951,6297,55
952,6297,45
990,6297,3
1011,6297,50
1017,6297,14
1020,6297,20
1022,6297,7
944,6298,11
945,6298,27
949,6298,3
951,6298,21
952,6298,116
953,6298,22
954,6298,44
955,6298,8
985,6298,14
986,6298,6
990,6298,14
991,6298,22
1011,6298,32
1023,6298,40
1024,6298,33
938,6299,95
939,6299,1
946,6299,5
947,6299,8
951,6299,6
952,6299,123
953,6299,9
954,6299,5
955,6299,2
986,6299,2
987,6299,64
999,6299,26
1005,6299,12
1006,6299,2
1008,6299,50
1011,6299,4
1017,6299,11
1018,6299,16
1020,6299,101
1023,6299,7
1024,6299,118
1025,6299,16
1026,6299,22
939,6300,4
943,6300,42
947,6300,13
948,6300,12
949,6300,27
952,6300,87
953,6300,6
957,6300,4
962,6300,71
963,6300,160
968,6300,2
970,6300,38
971,6300,9
979,6300,7
991,6300,25
993,6300,3
994,6300,26
995,6300,42
1000,6300,5
1001,6300,1
1004,6300,31
1005,6300,9
1012,6300,2
1018,6300,4
1019,6300,18
1020,6300,34
1024,6300,1
1025,6300,23
1026,6300,12
1027,6300,27
1028,6300,15
947,6301,4
948,6301,107
949,6301,45
952,6301,62
953,6301,83
954,6301,21
961,6301,1
962,6301,577
963,6301,259
964,6301,6
968,6301,6
969,6301,50
970,6301,37
971,6301,19
999,6301,11
1000,6301,43
1001,6301,15
1004,6301,34
1005,6301,9
1023,6301,8
1027,6301,59
1028,6301,40
1029,6301,64
1030,6301,23
1031,6301,24
948,6302,20
951,6302,10
952,6302,133
953,6302,8
954,6302,67
955,6302,24
960,6302,29
961,6302,258
962,6302,83
963,6302,20
978,6302,7
979,6302,31
980,6302,4
1012,6302,83
1013,6302,95
1023,6302,41
1032,6302,49
947,6303,12
948,6303,60
952,6303,31
953,6303,48
954,6303,109
955,6303,120
956,6303,2
959,6303,8
960,6303,12
961,6303,123
962,6303,248
963,6303,7
964,6303,18
965,6303,26
966,6303,10
972,6303,9
979,6303,6
980,6303,44
981,6303,24
990,6303,4
991,6303,95
992,6303,25
993,6303,1
994,6303,2
995,6303,14
1012,6303,3
1013,6303,12
1022,6303,5
1026,6303,5
1033,6303,47
1034,6303,34
897,6304,4
898,6304,128
899,6304,10
901,6304,9
902,6304,5
905,6304,8
946,6304,55
952,6304,3
953,6304,63
954,6304,106
955,6304,83
959,6304,1
960,6304,6
961,6304,429
962,6304,229
963,6304,9
972,6304,7
978,6304,44
979,6304,19
980,6304,32
984,6304,25
985,6304,60
987,6304,2
988,6304,20
989,6304,1
990,6304,1
991,6304,59
992,6304,23
994,6304,15
995,6304,40
996,6304,43
997,6304,58
998,6304,69
999,6304,59
1002,6304,35
1003,6304,9
1007,6304,15
1021,6304,20
1022,6304,6
897,6305,10
898,6305,23
899,6305,58
900,6305,193
901,6305,58
902,6305,290
903,6305,120
904,6305,48
905,6305,2
947,6305,3
948,6305,1
951,6305,2
952,6305,42
953,6305,57
954,6305,4
955,6305,149
956,6305,140
957,6305,33
958,6305,17
959,6305,6
960,6305,4
961,6305,282
962,6305,104
963,6305,10
967,6305,2
968,6305,25
970,6305,4
972,6305,26
973,6305,62
974,6305,56
975,6305,82
979,6305,22
980,6305,10
981,6305,5
983,6305,86
985,6305,5
986,6305,6
988,6305,27
989,6305,31
990,6305,16
991,6305,42
997,6305,9
998,6305,8
999,6305,80
1001,6305,13
1002,6305,42
1003,6305,62
1004,6305,67
1005,6305,130
1006,6305,35
1007,6305,37
1015,6305,13
1017,6305,34
1021,6305,6
1024,6305,2
1055,6305,8
1056,6305,24
1057,6305,139
897,6306,4
899,6306,12
900,6306,22
902,6306,1
903,6306,5
947,6306,17
948,6306,1
949,6306,8
951,6306,6
952,6306,8
953,6306,3
955,6306,79
956,6306,137
957,6306,135
958,6306,74
959,6306,35
961,6306,126
962,6306,287
963,6306,28
967,6306,10
968,6306,45
969,6306,67
970,6306,107
971,6306,112
972,6306,587
973,6306,1191
974,6306,1456
975,6306,772
976,6306,126
977,6306,81
978,6306,92
979,6306,109
980,6306,32
982,6306,122
983,6306,32
986,6306,12
987,6306,31
988,6306,1
989,6306,12
990,6306,38
991,6306,55
992,6306,45
993,6306,64
995,6306,11
996,6306,56
997,6306,42
998,6306,50
999,6306,44
1000,6306,47
1004,6306,24
1007,6306,8
1008,6306,52
1009,6306,8
1015,6306,22
1016,6306,5
1017,6306,78
1018,6306,6
1019,6306,3
1020,6306,11
1057,6306,2
897,6307,3
898,6307,3
949,6307,39
950,6307,8
955,6307,13
956,6307,109
957,6307,79
958,6307,123
959,6307,40
960,6307,110
961,6307,755
962,6307,772
963,6307,53
966,6307,94
967,6307,711
968,6307,311
969,6307,136
970,6307,379
971,6307,2424
972,6307,1323
973,6307,1641
974,6307,4020
975,6307,5697
976,6307,542
977,6307,569
978,6307,1034
979,6307,4123
980,6307,1576
981,6307,345
982,6307,105
983,6307,138
984,6307,144
985,6307,86
986,6307,24
987,6307,110
988,6307,129
989,6307,69
990,6307,78
991,6307,32
992,6307,63
993,6307,122
994,6307,93
995,6307,45
996,6307,36
997,6307,306
998,6307,320
999,6307,564
1000,6307,1182
1001,6307,2001
1002,6307,2811
1003,6307,1847
1004,6307,369
1005,6307,119
1006,6307,192
1007,6307,172
1008,6307,72
1011,6307,24
1012,6307,16
1013,6307,32
1014,6307,7
1015,6307,11
1017,6307,79
1018,6307,125
1019,6307,93
1020,6307,29
1023,6307,5
1025,6307,38
1034,6307,4
1035,6307,17
1036,6307,5
1058,6307,2
898,6308,20
903,6308,6
904,6308,2
920,6308,8
943,6308,74
944,6308,81
945,6308,51
946,6308,23
949,6308,50
950,6308,7
951,6308,14
954,6308,18
955,6308,52
956,6308,45
957,6308,108
958,6308,194
959,6308,247
960,6308,183
961,6308,205
962,6308,135
963,6308,42
964,6308,71
965,6308,360
966,6308,1488
967,6308,1089
968,6308,304
969,6308,741
970,6308,3430
971,6308,5420
972,6308,1589
973,6308,294
974,6308,389
975,6308,235
976,6308,16
977,6308,3
978,6308,15
979,6308,1253
980,6308,2943
981,6308,734
982,6308,466
983,6308,1513
984,6308,6907
985,6308,4763
986,6308,457
987,6308,140
988,6308,113
989,6308,95
990,6308,164
993,6308,16
994,6308,105
995,6308,127
996,6308,132
997,6308,385
998,6308,1403
999,6308,1621
1000,6308,2130
1001,6308,2495
1002,6308,5703
1003,6308,12911
1004,6308,19613
1005,6308,13319
1006,6308,9910
1007,6308,2967
1008,6308,413
1009,6308,70
1010,6308,29
1012,6308,18
1013,6308,21
1014,6308,6
1017,6308,342
1018,6308,1022
1019,6308,677
1020,6308,100
1021,6308,22
1022,6308,13
1023,6308,47
1024,6308,154
1025,6308,129
1026,6308,49
1027,6308,6
1035,6308,19
898,6309,39
944,6309,48
945,6309,34
946,6309,120
948,6309,8
949,6309,28
950,6309,52
951,6309,80
952,6309,1
953,6309,65
954,6309,7
955,6309,39
956,6309,10
957,6309,30
958,6309,24
959,6309,422
960,6309,248
961,6309,28
962,6309,97
963,6309,423
964,6309,827
965,6309,1510
966,6309,491
967,6309,289
968,6309,1648
969,6309,3100
970,6309,1556
971,6309,751
972,6309,2725
973,6309,823
974,6309,145
976,6309,62
978,6309,3
979,6309,23
980,6309,439
981,6309,335
982,6309,406
983,6309,2136
984,6309,4888
985,6309,1678
986,6309,604
987,6309,363
988,6309,227
989,6309,335
990,6309,123
991,6309,128
992,6309,260
993,6309,529
994,6309,1182
995,6309,1982
996,6309,4477
997,6309,7656
998,6309,4315
999,6309,852
1000,6309,387
1001,6309,254
1002,6309,355
1003,6309,441
1004,6309,1142
1005,6309,2678
1006,6309,14339
1007,6309,18055
1008,6309,21984
1009,6309,13054
1010,6309,4178
1011,6309,201
1012,6309,31
1013,6309,23
1014,6309,12
1017,6309,32
1018,6309,249
1019,6309,1506
1020,6309,843
1021,6309,619
1022,6309,471
1023,6309,158
1024,6309,24
1041,6309,21
899,6310,39
900,6310,15
903,6310,8
937,6310,71
943,6310,3
944,6310,40
945,6310,6
946,6310,37
947,6310,32
948,6310,1
949,6310,101
950,6310,10
951,6310,1
952,6310,2
953,6310,59
954,6310,80
955,6310,20
956,6310,28
957,6310,28
958,6310,197
959,6310,1017
960,6310,311
961,6310,93
962,6310,1358
963,6310,3082
964,6310,1502
965,6310,181
966,6310,41
