ix,iy,crossings
816,6524,8
816,6525,12
816,6528,1
815,6536,2
815,6537,12
816,6537,9
816,6538,3
814,6556,10
814,6557,4
778,6558,11
814,6558,16
778,6559,7
631,6561,7
631,6562,1
635,6567,1
635,6568,9
636,6568,7
636,6569,5
695,6575,4
641,6576,1
694,6576,3
695,6576,7
641,6577,14
642,6577,3
695,6577,11
829,6577,2
642,6578,3
828,6578,9
723,6579,2
724,6579,1
828,6579,1
873,6579,3
556,6580,3
557,6580,5
723,6580,27
786,6580,7
828,6580,3
873,6580,8
557,6581,4
723,6581,3
786,6581,25
828,6581,5
645,6582,5
646,6582,15
821,6582,8
827,6582,5
828,6582,2
646,6583,15
647,6583,7
827,6583,13
647,6584,15
823,6584,2
826,6584,11
827,6584,7
647,6585,4
648,6585,24
823,6585,24
825,6585,1
826,6585,8
823,6586,11
824,6586,4
825,6586,19
873,6586,26
824,6587,23
872,6587,9
873,6587,6
700,6588,2
791,6588,25
872,6588,14
561,6589,1
791,6589,67
872,6589,14
561,6590,1
701,6590,3
791,6590,11
792,6590,37
866,6590,10
702,6591,2
564,6592,5
564,6593,4
565,6593,8
565,6594,4
721,6594,4
566,6595,11
566,6596,1
567,6596,14
825,6596,5
704,6597,6
818,6597,6
825,6597,12
815,6598,5
817,6598,6
818,6598,17
825,6598,11
661,6599,8
704,6599,2
721,6599,27
791,6599,6
817,6599,14
825,6599,4
826,6599,4
867,6599,7
704,6600,8
721,6600,34
791,6600,16
826,6600,12
867,6600,24
663,6601,7
867,6601,13
814,6602,1
817,6602,9
818,6602,1
866,6602,9
867,6602,5
571,6603,11
813,6603,11
814,6603,3
818,6603,5
866,6603,27
571,6604,1
572,6604,6
705,6604,4
813,6604,11
818,6604,12
827,6604,6
866,6604,32
660,6605,2
705,6605,7
818,6605,1
819,6605,9
827,6605,13
865,6605,3
866,6605,3
660,6606,5
812,6606,5
828,6606,4
829,6606,8
660,6607,4
706,6607,7
829,6607,8
719,6609,3
811,6609,7
812,6609,1
660,6610,6
661,6610,7
706,6610,7
719,6610,44
787,6610,14
788,6610,2
811,6610,5
660,6611,11
661,6611,2
719,6611,44
787,6611,21
865,6611,4
575,6612,7
661,6612,9
718,6612,11
719,6612,58
787,6612,19
788,6612,9
865,6612,5
521,6613,8
575,6613,1
718,6613,45
719,6613,19
845,6613,44
846,6613,1
865,6613,2
521,6614,18
576,6614,1
577,6614,3
718,6614,37
810,6614,4
845,6614,23
864,6614,1
522,6615,2
577,6615,11
578,6615,2
672,6615,2
701,6615,2
718,6615,7
810,6615,22
845,6615,4
522,6616,4
523,6616,18
578,6616,24
579,6616,10
672,6616,3
701,6616,16
719,6616,1
805,6616,10
806,6616,3
810,6616,17
845,6616,1
701,6617,6
708,6617,10
719,6617,28
806,6617,15
807,6617,2
809,6617,28
701,6618,4
708,6618,10
719,6618,10
786,6618,1
787,6618,6
807,6618,17
808,6618,22
809,6618,6
824,6618,8
787,6619,60
807,6619,23
808,6619,18
824,6619,13
826,6619,2
674,6620,7
702,6620,8
786,6620,3
807,6620,11
808,6620,1
809,6620,12
826,6620,20
827,6620,12
674,6621,3
675,6621,30
809,6621,13
810,6621,3
827,6621,18
858,6621,17
859,6621,11
675,6622,4
676,6622,11
810,6622,16
858,6622,32
861,6622,14
675,6623,9
676,6623,5
677,6623,40
678,6623,5
702,6623,2
710,6623,17
812,6623,6
857,6623,30
858,6623,1
860,6623,32
861,6623,6
669,6624,10
678,6624,6
696,6624,8
702,6624,5
710,6624,6
811,6624,1
857,6624,21
860,6624,33
528,6625,2
581,6625,8
582,6625,11
669,6625,33
670,6625,10
696,6625,4
710,6625,4
528,6626,18
529,6626,37
530,6626,8
582,6626,28
583,6626,2
715,6626,56
716,6626,4
802,6626,12
803,6626,8
848,6626,2
849,6626,7
530,6627,13
583,6627,7
715,6627,40
