ix,iy,crossings
517,6082,6
521,6082,15
522,6082,5
511,6083,2
512,6083,13
511,6084,11
529,6086,28
562,6086,46
556,6087,4
557,6087,32
561,6087,2
562,6087,2
566,6087,1
512,6088,40
531,6088,9
541,6088,3
542,6088,12
554,6088,6
555,6088,41
556,6088,30
565,6088,9
566,6088,35
568,6088,10
574,6088,1
512,6089,45
537,6089,5
538,6089,42
540,6089,5
541,6089,12
542,6089,4
548,6089,31
549,6089,15
572,6089,6
573,6089,24
574,6089,34
535,6090,1
536,6090,83
537,6090,42
538,6090,26
548,6090,2
513,6091,39
579,6091,13
581,6091,15
511,6092,45
513,6092,41
514,6092,5
580,6092,17
581,6092,16
582,6092,38
583,6092,1
511,6093,17
514,6093,27
515,6093,5
589,6093,9
510,6094,43
515,6094,12
584,6094,5
585,6094,48
510,6095,7
511,6095,22
514,6095,2
515,6095,45
516,6095,41
589,6095,2
590,6095,10
513,6096,4
515,6096,7
516,6096,1
514,6097,47
515,6097,7
516,6097,29
590,6097,4
591,6097,106
592,6097,4
514,6098,67
515,6098,60
591,6098,16
624,6098,7
625,6098,12
514,6099,158
515,6099,7
592,6099,14
511,6100,10
512,6100,16
513,6100,26
514,6100,132
515,6100,5
592,6100,18
640,6100,21
512,6101,21
513,6101,51
514,6101,63
515,6101,61
592,6101,26
640,6101,12
641,6101,35
642,6101,4
512,6102,3
513,6102,45
514,6102,36
515,6102,11
528,6102,9
529,6102,13
530,6102,6
531,6102,2
645,6102,24
472,6103,23
473,6103,16
509,6103,7
512,6103,25
513,6103,26
514,6103,93
515,6103,25
516,6103,35
525,6103,142
526,6103,502
527,6103,231
528,6103,140
529,6103,15
530,6103,68
531,6103,83
532,6103,54
533,6103,19
534,6103,8
537,6103,4
602,6103,11
603,6103,28
618,6103,49
638,6103,7
472,6104,14
508,6104,18
509,6104,27
512,6104,33
513,6104,12
514,6104,72
515,6104,19
516,6104,86
517,6104,24
522,6104,6
523,6104,10
524,6104,7
525,6104,109
526,6104,145
527,6104,745
528,6104,294
529,6104,190
530,6104,132
531,6104,143
532,6104,85
533,6104,121
534,6104,155
535,6104,74
536,6104,176
537,6104,195
538,6104,31
539,6104,20
593,6104,6
594,6104,29
596,6104,1
597,6104,26
603,6104,5
607,6104,55
638,6104,39
639,6104,8
646,6104,29
647,6104,15
506,6105,8
508,6105,35
509,6105,19
510,6105,15
511,6105,49
512,6105,162
513,6105,447
514,6105,658
515,6105,354
516,6105,347
517,6105,111
518,6105,76
519,6105,39
520,6105,66
521,6105,45
522,6105,57
523,6105,43
525,6105,107
526,6105,153
527,6105,33
529,6105,9
530,6105,51
531,6105,14
536,6105,4
539,6105,2
542,6105,20
592,6105,2
594,6105,34
595,6105,28
607,6105,38
608,6105,9
611,6105,17
614,6105,82
615,6105,29
646,6105,12
647,6105,13
506,6106,3
508,6106,28
509,6106,295
