x,y,utc,discipline,flight_id
925214.2108374751,6477413.4003977645,1429705344.0,hang gliders,20162442
926579.6848939848,6477585.574299358,1524317056.0,hang gliders,20235259
925418.7163329958,6475138.328325432,1590673536.0,hang gliders,20282134
925019.3683917742,6476305.323143507,1590673664.0,hang gliders,20282134
925580.1208909623,6475246.584756805,1590757120.0,hang gliders,20283237
925675.0426028108,6479072.281995308,1595161472.0,hang gliders,20287547
926986.6305373379,6478236.883343752,1595680384.0,hang gliders,20288479
925493.8896429057,6478556.688971481,1646575232.0,hang gliders,20314671
927193.3701134794,6478482.341078411,1648217856.0,hang gliders,20316396
926873.9691948296,6479827.708236653,1648305408.0,hang gliders,20316586
926649.1480073927,6477508.712920483,1652184192.0,hang gliders,20320591
927051.2510954355,6478289.150101453,1652792320.0,hang gliders,20321980
927672.5141572235,6479774.930606718,1692713344.0,hang gliders,20350501
926917.0552733743,6477220.878182197,1714049408.0,hang gliders,20358139
926912.6430566172,6477153.967502431,1714053120.0,hang gliders,20358139
925901.9032781267,6475659.609421715,1745932032.0,hang gliders,20375195
926259.9222219256,6477159.23728196,1746019328.0,hang gliders,20376200
927406.6594600277,6478326.673025869,1751285248.0,hang gliders,20381553
926966.7791274408,6477310.854105213,1754050573.237478,hang gliders,20383919
926915.3541854131,6477537.865427056,1775565568.0,hang gliders,20391531
926699.622666087,6477458.192745095,1177761280.0,paragliders,20062502
926536.6569378088,6476991.1458052695,1209734493.7195177,paragliders,20071410
927224.8844341943,6478780.18341736,1271851904.0,paragliders,20091610
926404.6499484119,6476964.485825981,1271851776.0,paragliders,20091985
926616.0128835323,6477175.509106827,1301144320.0,paragliders,20101401
927202.8185683239,6478731.515574211,1302952704.0,paragliders,20103089
925627.7859013407,6476237.218381331,1303300224.0,paragliders,20103344
926834.4076095639,6478024.3094059955,1303300480.0,paragliders,20103344
925253.3244541605,6478250.849699484,1332593664.0,paragliders,20111825
926705.9392059925,6476942.541181696,1332591616.0,paragliders,20111918
927057.9631757385,6478308.536858529,1332769664.0,paragliders,20112314
926428.2304858573,6476861.027279761,1332940672.0,paragliders,20112549
926824.1889033976,6477665.564175131,1332590464.0,paragliders,20112724
925409.1981018911,6475436.221416568,1332766208.0,paragliders,20112725
926275.5725141739,6476970.084829492,1332939264.0,paragliders,20112726
926389.0076611781,6477297.726518077,1333976576.0,paragliders,20113191
926346.5397620427,6477132.042740417,1333802240.0,paragliders,20113194
926263.1950312615,6477198.301474865,1333802368.0,paragliders,20113194
926187.2614208087,6477123.128007367,1333976064.0,paragliders,20113257
925294.0416081699,6479922.956403535,1336051072.0,paragliders,20113860
927503.1242078226,6479434.756436393,1338381824.0,paragliders,20115726
