x,y,utc,discipline,flight_id
445884.9912661258,6874670.071302833,1567250688.0,hang gliders,20276551
445978.25321666355,6874857.132125414,1567250944.0,hang gliders,20276551
447436.9420632968,6870167.179591669,1253970816.0,paragliders,20090226
446034.51458144025,6874789.635862029,1307790976.0,paragliders,20106164
446008.2916830459,6874845.504109122,1307788544.0,paragliders,20106191
446010.90915862145,6874918.969904331,1309436544.0,paragliders,20107087
448095.75556496304,6870145.187663213,1311853696.0,paragliders,20107631
447467.4517278994,6870372.025648639,1332681088.0,paragliders,20112246
447431.5326401576,6870433.441344236,1332681728.0,paragliders,20112246
447983.27361308585,6870108.693764723,1334581760.0,paragliders,20113379
447665.0174730621,6870119.409961993,1335955840.0,paragliders,20113700
447563.5104875709,6870652.751144457,1337185536.0,paragliders,20115003
447426.23752670357,6870492.866836624,1337189376.0,paragliders,20115003
447588.2517433708,6870081.89870628,1337168512.0,paragliders,20115007
447551.26463999925,6870293.43492942,1344512640.0,paragliders,20119692
447552.30802924855,6870319.101434822,1344512640.0,paragliders,20119692
447545.5625439979,6870326.320928661,1344512640.0,paragliders,20119692
447363.5011320015,6870358.941062028,1344519680.0,paragliders,20119710
447311.89822761016,6870435.556272851,1344506752.0,paragliders,20119770
447331.02395237016,6870378.459509939,1344506752.0,paragliders,20119770
447393.49843686825,6870519.144535925,1344506752.0,paragliders,20119770
445964.33539827535,6874920.832727346,1345641216.0,paragliders,20120709
446110.59855947254,6874805.18333238,1345642368.0,paragliders,20120709
445947.494275604,6874931.797138264,1345642496.0,paragliders,20120709
445980.2464796476,6874875.404279901,1345643008.0,paragliders,20120729
447246.17652746,6870748.932142007,1366456192.0,paragliders,20125813
447354.04323114123,6870288.093225378,1367144960.0,paragliders,20126855
447656.0251755862,6870212.3263362,1367152896.0,paragliders,20126880
447831.2356442798,6870111.913704862,1367153280.0,paragliders,20126880
447324.4076233279,6871027.6246686,1368868480.0,paragliders,20128300
447430.91730687197,6870401.107248372,1368870656.0,paragliders,20128300
447445.5803756735,6870420.310875935,1368870400.0,paragliders,20128302
447435.65895400586,6870413.387623757,1368870400.0,paragliders,20128302
447427.7808554049,6870372.764584613,1368870400.0,paragliders,20128302
447416.3239466013,6870689.942289682,1368870656.0,paragliders,20128302
447394.56748332776,6870402.328153417,1368870016.0,paragliders,20128305
448101.0254971383,6870251.637372754,1369575936.0,paragliders,20128537
447600.7528275107,6870248.444157257,1370173568.0,paragliders,20128863
447760.7412730392,6870146.283368066,1370172928.0,paragliders,20128875
447533.9828034846,6870239.1784653915,1370173568.0,paragliders,20128875
447838.40973329195,6870274.990921998,1370174336.0,paragliders,20128875
447504.8245704895,6870285.061983978,1370174464.0,paragliders,20128875
447486.2196832661,6870268.250633634,1370174464.0,paragliders,20128875
447410.2508353056,6870297.40530457,1370174464.0,paragliders,20128875
447940.72835306573,6870235.736784079,1370176640.0,paragliders,20128957
447540.01439712493,6870366.311545669,1370176896.0,paragliders,20128957
447939.0630383644,6870275.784377762,1370178176.0,paragliders,20128957
445883.8180975687,6874984.294766927,1372945408.0,paragliders,20130913
447402.7344484511,6870379.275707419,1373111296.0,paragliders,20131124
447470.9102703173,6870332.165560921,1370177920.0,paragliders,20131837
447598.61771251843,6870320.673980563,1370178048.0,paragliders,20131837
447812.1963146176,6870220.932422719,1370178048.0,paragliders,20131837
447869.60311580356,6870218.748323626,1370178048.0,paragliders,20131837
447436.19361241395,6870232.049704147,1373810560.0,paragliders,20131840
447240.6296512486,6870622.804542968,1373810816.0,paragliders,20131840
447195.1929883155,6870616.117786778,1373810816.0,paragliders,20131840
447203.13242698205,6870671.422872701,1373810816.0,paragliders,20131840
447895.76485770673,6870275.316369438,1374055296.0,paragliders,20131994
447430.0204149292,6870507.6860725535,1377692672.0,paragliders,20135511
447433.35755793954,6870360.93489556,1397909888.0,paragliders,20142668
447622.68016430514,6870140.710469302,1400321920.0,paragliders,20144828
447395.9512845634,6870427.217457557,1400322432.0,paragliders,20144828
447770.6748750215,6870306.855994571,1400322688.0,paragliders,20144828
447796.94782380713,6870326.195795679,1400322688.0,paragliders,20144828
447793.93938365066,6870335.363632681,1400322688.0,paragliders,20144828
447785.8030223192,6870342.370121229,1400322688.0,paragliders,20144828
447739.3377429133,6870344.493484619,1400322688.0,paragliders,20144828
447719.6660837299,6870225.142992778,1400322944.0,paragliders,20144828
447709.21250325174,6870236.2242541425,1400322944.0,paragliders,20144828
447671.1742396281,6870256.104998149,1400322944.0,paragliders,20144828
447411.2978187724,6870230.500396167,1400325632.0,paragliders,20145006
447551.2362071413,6870338.412490784,1402220800.0,paragliders,20147312
445890.35320340167,6874811.778744314,1404653696.0,paragliders,20149746
445863.6705221314,6874783.422758689,1404653696.0,paragliders,20149746
445876.9558165901,6874764.581528777,1404653696.0,paragliders,20149746
446098.1240575136,6874830.200855734,1405342592.0,paragliders,20149991
