discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Plains,available segments,10.0,9786.921979838186,8700,5474,9686.227595794555,9887.434666268267
paragliders,Plains,available segments,11.0,11735.963029039534,8700,5474,11611.260224888041,11858.101186189826
paragliders,Plains,available segments,12.0,13113.306996314735,8700,5474,12965.81091197606,13255.59358669195
paragliders,Plains,available segments,14.0,17979.465503091404,8700,5474,17780.095089489907,18181.525808563256
paragliders,Plains,available segments,16.0,22455.02287114633,8700,5474,22190.387878004163,22711.850852435622
paragliders,Plains,available segments,18.0,28278.584534589707,8700,5474,27945.625153987265,28616.59572636965
paragliders,Plains,available segments,20.0,33094.65588862406,8700,5474,32692.016000065254,33492.432582518406
paragliders,Plains,available segments,23.0,43143.596616438364,8700,5474,42598.93959460995,43692.08542947545
paragliders,Plains,available segments,25.0,47884.844705481526,8700,5474,47250.70240104393,48519.75451366283
paragliders,Plains,available segments,29.0,64807.99685318505,8700,5474,63957.233602268396,65673.4562197388
paragliders,Plains,available segments,32.0,75857.51137986353,8700,5474,74834.98947475618,76903.22621999968
paragliders,Plains,available segments,37.0,99510.43863619932,8700,5474,98149.48940242335,100878.49520583122
paragliders,Plains,available segments,41.0,120945.55201018718,8700,5474,119269.41353441277,122655.74340231727
paragliders,Plains,available segments,46.0,151484.60988206978,8700,5474,149373.9997392369,153643.2319443415
paragliders,Plains,available segments,52.0,187706.89787049385,8699,5474,185019.52539655592,190436.0477468622
paragliders,Plains,available segments,59.0,243469.64707388193,8697,5473,239958.26074574047,246992.7962886387
paragliders,Plains,available segments,67.0,305583.7512800624,8697,5473,301127.3350107108,310064.9628823858
paragliders,Plains,available segments,75.0,381519.7816284158,8694,5470,375882.09737472923,387207.836770591
paragliders,Plains,available segments,85.0,475892.41729408246,8693,5469,468734.5206457393,483085.4867189201
paragliders,Plains,available segments,95.0,595398.076723176,8692,5468,586369.2453064459,604463.9238011471
paragliders,Plains,available segments,107.0,739752.4964103027,8690,5467,728277.1237459667,751290.10638604
paragliders,Plains,available segments,121.0,927296.8737078402,8690,5467,912783.0238988858,941991.3075143108
paragliders,Plains,available segments,137.0,1174368.9905646828,8689,5466,1155748.2051167532,1193294.9024257613
paragliders,Plains,available segments,154.0,1463092.0985591148,8688,5465,1439348.0734101466,1486939.6787962578
paragliders,Plains,available segments,174.0,1841718.970205075,8683,5462,1810924.1703636006,1872080.0655860773
paragliders,Plains,available segments,196.0,2300884.4689739426,8681,5460,2262080.6807738254,2339504.916492615
paragliders,Plains,available segments,221.0,2874766.5475684055,8681,5460,2825540.39004364,2924098.7576739094
paragliders,Plains,available segments,249.0,3598320.437418219,8679,5459,3535889.0845086295,3660684.287096778
paragliders,Plains,available segments,281.0,4496078.746166702,8679,5459,4416616.491147938,4575870.180390521
paragliders,Plains,available segments,316.0,5598674.707880966,8674,5455,5498034.308088454,5697683.53034044
paragliders,Plains,available segments,357.0,7011570.976227967,8670,5452,6882708.1441554725,7138539.184651171
paragliders,Plains,available segments,402.0,8725199.333860135,8666,5452,8561204.711870741,8884719.416326122
paragliders,Plains,available segments,453.0,10906489.951830165,8662,5450,10697638.985922622,11107882.412723707
paragliders,Plains,available segments,511.0,13626065.839098481,8660,5449,13361286.250845615,13881623.71944399
paragliders,Plains,available segments,576.0,17016207.152305894,8657,5447,16680557.17184709,17341164.624285232
paragliders,Plains,available segments,649.0,21244660.15719934,8656,5446,20821482.478416715,21658391.838196844
paragliders,Plains,available segments,732.0,26570293.454844277,8651,5443,26037510.572971445,27098863.53500441
paragliders,Plains,available segments,825.0,33230089.840784103,8644,5437,32550826.95804921,33907049.3535222
paragliders,Plains,available segments,931.0,41707550.035316296,8639,5434,40838887.93711239,42575491.92811213
paragliders,Plains,available segments,1049.0,52242053.46756818,8630,5432,51119327.768366404,53348628.34557398
paragliders,Plains,available segments,1183.0,65568266.85648296,8622,5429,64153077.214646734,66959334.96083169
paragliders,Plains,available segments,1334.0,82190375.09252183,8520,5373,80326110.8551268,83973724.5625886
paragliders,Plains,available segments,1504.0,102821922.99576586,8300,5253,100466631.8217311,105110439.90340073
paragliders,Plains,available segments,1695.0,129410562.49829055,8040,5106,126274687.01227225,132412462.461057
paragliders,Plains,available segments,1911.0,162934163.23383716,7698,4914,158867846.96006697,166902277.78657597
paragliders,Plains,available segments,2155.0,207531579.93746686,7247,4669,202128700.60589248,212853269.03306127
paragliders,Plains,available segments,2429.0,265049990.28242254,6774,4397,257859655.40269446,272104726.18285125
paragliders,Plains,available segments,2739.0,339613389.4441533,6190,4075,329875245.66335255,348984291.3479578
paragliders,Plains,available segments,3088.0,438231998.07615346,5591,3718,425632873.4920881,450838208.64559
paragliders,Plains,available segments,3481.0,571012580.5123616,4916,3297,553160499.4678205,588042001.7059295
paragliders,Plains,available segments,3925.0,752205426.1481118,4216,2839,728182932.2001436,775820401.8642898
paragliders,Plains,available segments,4425.0,984661823.163244,3550,2414,952739682.3609327,1016593793.3828007
paragliders,Plains,available segments,4989.0,1301733049.2381134,2909,2007,1256819295.5894592,1346058435.438355
paragliders,Plains,available segments,5624.0,1708477566.9919205,2355,1618,1644779182.468052,1772239514.8747633
paragliders,Plains,available segments,6341.0,2267511534.2767644,1777,1247,2174540971.974028,2366434885.24472
paragliders,Plains,available segments,7149.0,3078254552.231877,1230,897,2931610063.081653,3241507172.131286
paragliders,Plains,available segments,8059.0,4237299046.0876155,866,655,4010932677.7943254,4472632232.004949
paragliders,Plains,available segments,9086.0,5743797613.717212,589,449,5372280494.7975645,6150582829.584229
paragliders,Plains,available segments,10000.0,7369763907.782149,417,319,6870738195.423043,7938037604.72255
paragliders,Plains,fixed long segments,10.0,13154.664224089478,417,319,12657.058277312544,13699.727947588288
paragliders,Plains,fixed long segments,11.0,15537.649396498426,417,319,14931.061739088249,16223.302918374593
paragliders,Plains,fixed long segments,12.0,17577.392834560476,417,319,16852.65778769882,18377.822094806732
paragliders,Plains,fixed long segments,14.0,24408.113330429405,417,319,23435.26529126222,25513.307804668562
paragliders,Plains,fixed long segments,16.0,31268.83227948891,417,319,29964.46280465011,32680.69584821568
paragliders,Plains,fixed long segments,18.0,39818.4503451926,417,319,38174.22894691003,41658.177345305674
paragliders,Plains,fixed long segments,20.0,46673.8266800622,417,319,44745.534091009846,48879.45677202285
paragliders,Plains,fixed long segments,23.0,61441.6719546238,417,319,58811.30743059726,64421.57225471451
paragliders,Plains,fixed long segments,25.0,68926.5133721148,417,319,65857.85245105982,72457.31081527779
paragliders,Plains,fixed long segments,29.0,94970.09619023532,417,319,90832.45418680317,99809.38272418725
paragliders,Plains,fixed long segments,32.0,110846.29982108064,417,319,105978.73875422652,116680.19756634881
paragliders,Plains,fixed long segments,37.0,147945.83156755846,417,319,141410.72627302507,155665.62200174047
paragliders,Plains,fixed long segments,41.0,180215.9509423711,417,319,172074.16116684594,189782.57890387005
paragliders,Plains,fixed long segments,46.0,227264.8322092326,417,319,216979.7887942411,239155.2174850109
paragliders,Plains,fixed long segments,52.0,282382.0603548411,417,319,269587.65888476674,297666.27472467785
paragliders,Plains,fixed long segments,59.0,368594.5224539119,417,319,351645.4186728683,388456.0399245311
paragliders,Plains,fixed long segments,67.0,465057.0614321043,417,319,443567.0101816803,490150.51848069567
paragliders,Plains,fixed long segments,75.0,583905.1246065648,417,319,556420.3049870438,615581.5880393048
paragliders,Plains,fixed long segments,85.0,731792.665542566,417,319,697321.7761078185,773221.5456894184
paragliders,Plains,fixed long segments,95.0,919379.7185439148,417,319,875779.5547722908,970323.6383364965
paragliders,Plains,fixed long segments,107.0,1146171.3225044964,417,319,1091140.421921189,1211310.6005651413
paragliders,Plains,fixed long segments,121.0,1445153.0067071342,417,319,1375278.4207952616,1529184.745872031
paragliders,Plains,fixed long segments,137.0,1838157.9675509592,417,319,1748224.492436913,1944228.037130328
paragliders,Plains,fixed long segments,154.0,2297437.8555530575,417,319,2184938.592042709,2432921.0112770866
paragliders,Plains,fixed long segments,174.0,2902405.006107614,417,319,2759530.91325331,3074866.5679514348
paragliders,Plains,fixed long segments,196.0,3643820.6297586933,417,319,3459576.1839898657,3861231.9303455176
paragliders,Plains,fixed long segments,221.0,4568910.13935102,417,319,4338115.617030533,4846540.335701662
