discipline,circuit_type,altitude_band,control,control_index,h_eff,slope,intercept_log_m2,h_eff_bootstrap_se,n_flights_min,n_clusters_min,n_lags,status,resamples,n_finite_resamples,requested_low_s,requested_high_s,actual_low_s,actual_high_s,ci95_low,ci95_high
paragliders,open,Plains,available segments,0,0.9133186743842847,1.8266373487685694,4.998015203133951,0.0006877526248126221,7621,4707,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.912019893744436,0.9146307713540053
paragliders,open,Plains,available segments,0,0.9378872495512591,1.8757744991025183,4.811553495647011,0.0005975020256808394,7575,4679,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.93672794818596,0.939054855130636
paragliders,open,Plains,available segments,0,1.0842987151774974,2.168597430354995,2.662795674505322,0.005592746808363034,393,296,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,1.073274838984809,1.09495474299412
paragliders,open,Plains,available segments,0,0.9618855919809984,1.9237711839619969,4.6165613892799,0.0010997957914157567,393,296,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.9597375370325649,0.964057761504855
paragliders,open,Plains,fixed long segments,1,0.9443971902382062,1.8887943804764125,5.128036652318987,0.0017867175312500981,393,296,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9408624436356368,0.9478433842888546
paragliders,open,Plains,fixed long segments,1,0.9501057033108401,1.9002114066216802,5.101369508793333,0.001330448010045093,393,296,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.9474349166322346,0.952595810882548
paragliders,open,Plains,fixed long segments,1,0.9872995093980798,1.9745990187961595,4.57780232442582,0.0011337453961913948,393,296,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.9850539229111416,0.9893623811836012
paragliders,open,Plains,fixed long segments,1,0.9599648582039837,1.9199297164079674,5.010290276787067,0.0011117032205991617,393,296,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.9577001182375038,0.9620782641649949
paragliders,open,Hills,available segments,0,0.9117977452644951,1.8235954905289902,4.938612946741545,0.0004973710941963019,11810,8534,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9108280467326015,0.9127474566906183
paragliders,open,Hills,available segments,0,0.9269687953370204,1.8539375906740407,4.840894479577164,0.0005973725845071412,11705,8467,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.9257504798411339,0.9280623002351941
paragliders,open,Hills,available segments,0,1.0927140532802433,2.1854281065604866,2.3562464368370613,0.006019865066211284,417,343,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,1.0812974937103554,1.1042255333080249
paragliders,open,Hills,available segments,0,0.9522297846349737,1.9044595692699473,4.6152954659716166,0.0011418388402487396,417,343,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.950014412294138,0.9544413457403018
paragliders,open,Hills,fixed long segments,1,0.9459850479348387,1.8919700958696775,5.1396465278548,0.0014722881465349354,417,343,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9430603844732566,0.9488934542427259
paragliders,open,Hills,fixed long segments,1,0.9487492283113964,1.8974984566227928,5.140726642467811,0.0012823256131227802,417,343,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.9461390495367631,0.9511015522266619
paragliders,open,Hills,fixed long segments,1,0.9798653791195913,1.9597307582391825,4.700896339147613,0.0015499016107520566,417,343,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.9766992070800504,0.9828360305183321
paragliders,open,Hills,fixed long segments,1,0.9578190776524449,1.9156381553048898,5.0511873190158685,0.0011747420850889982,417,343,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.9554425159518308,0.9600429402261945
paragliders,open,Low mountains,available segments,0,0.9047349854700324,1.8094699709400648,4.818696094047472,0.00031163897475132825,28136,18943,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9041263944883707,0.905364920873785
paragliders,open,Low mountains,available segments,0,0.8879962157477681,1.7759924314955362,5.021236288713636,0.0004713225649952186,27949,18821,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8870530614311916,0.8889053715399077
paragliders,open,Low mountains,available segments,0,0.9445276619812681,1.8890553239625363,4.109252219809909,0.004255358143039379,1564,1192,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.9361508752174926,0.9527137128909762
paragliders,open,Low mountains,available segments,0,0.8995089260769545,1.799017852153909,4.859895190615642,0.0007951836071476245,1564,1192,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.897928001863327,0.9010688966126846
paragliders,open,Low mountains,fixed long segments,1,0.9321235137165116,1.8642470274330232,4.822121803930393,0.0007781150177736482,1564,1192,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9305995109676861,0.933628466092438
paragliders,open,Low mountains,fixed long segments,1,0.9113603237778575,1.822720647555715,5.051642998211387,0.000884673916821222,1564,1192,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.9096498047249167,0.9130628204307203
paragliders,open,Low mountains,fixed long segments,1,0.8788471589683401,1.7576943179366802,5.50762935724998,0.003252720211699794,1564,1192,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.8723178187476897,0.8852101514753923
paragliders,open,Low mountains,fixed long segments,1,0.9125473767699169,1.8250947535398339,4.984452760315959,0.0011567280423980483,1564,1192,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.910290006632161,0.9147947759229638
paragliders,open,High mountains,available segments,0,0.9101762380876107,1.8203524761752214,4.802801840029352,0.00037617223689724165,19396,13301,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9094331461373951,0.9109005606969358
paragliders,open,High mountains,available segments,0,0.8827566578266417,1.7655133156532834,5.104678143967385,0.0005058727069752661,19299,13239,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8817318867358668,0.8837151052550617
paragliders,open,High mountains,available segments,0,0.9312063913326522,1.8624127826653043,4.308568919646909,0.003078868083335182,2209,1642,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.9250781022828479,0.9372887167104934
paragliders,open,High mountains,available segments,0,0.8954515856033554,1.7909031712067107,4.915739409624546,0.000674244868503238,2209,1642,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.8941551126039577,0.8967055189807771
paragliders,open,High mountains,fixed long segments,1,0.9359656092824987,1.8719312185649974,4.801876160560974,0.0006631010018682013,2209,1642,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9346643721872883,0.9372779352363938
paragliders,open,High mountains,fixed long segments,1,0.9079130023204073,1.8158260046408146,5.097997788443159,0.0006844775208693775,2209,1642,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.906622080637195,0.9092658727124557
paragliders,open,High mountains,fixed long segments,1,0.8648836875101946,1.7297673750203892,5.705393579516619,0.0024152706171121016,2209,1642,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.8601242416478765,0.8694611051926802
paragliders,open,High mountains,fixed long segments,1,0.9087801441713049,1.8175602883426099,5.022427184122694,0.0008131475499862382,2209,1642,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.9072011837624009,0.9103369410934422
paragliders,closed,Plains,available segments,0,0.8672197808968058,1.7344395617936117,4.778963848847819,0.0016942920869378378,1063,942,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.8640228428401068,0.8708966692881722
paragliders,closed,Plains,available segments,0,0.8048937475778818,1.6097874951557636,5.453529709818234,0.002998152213213883,1056,936,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.7988623408710972,0.8107155009973764
paragliders,closed,Plains,available segments,0,0.9607186224732651,1.9214372449465302,2.9243935429112895,0.02526101014550748,24,24,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.9048615134408101,1.004941160799406
paragliders,closed,Plains,available segments,0,0.836332645788419,1.672665291576838,5.00510841364572,0.004855869631987773,24,24,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.8257819493535765,0.8447921804284036
paragliders,closed,Plains,fixed long segments,1,0.9384115666088328,1.8768231332176657,4.638786549522797,0.008652972280258178,24,24,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.9191106283683597,0.953956876759417
paragliders,closed,Plains,fixed long segments,1,0.9016993306984119,1.8033986613968238,5.009325133145495,0.008090930283388201,24,24,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8832666202604784,0.915044614035114
paragliders,closed,Plains,fixed long segments,1,0.7922003833994861,1.5844007667989721,6.603733588011419,0.014151474601331728,24,24,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.7621190320132778,0.8174908013117624
paragliders,closed,Plains,fixed long segments,1,0.8933159209477958,1.7866318418955915,5.004931286894145,0.007378738522763467,24,24,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.876055746881713,0.9054450679547681
paragliders,closed,Hills,available segments,0,0.8824151233356181,1.7648302466712362,4.7221958580020225,0.0005768078996584628,6323,5158,20,ok,2000,2000,10.0,100.0,10.0,95.0,0.8812397882118864,0.8835218562849787
paragliders,closed,Hills,available segments,0,0.8187204521495969,1.6374409042991938,5.385405987755588,0.0009784445783583414,6287,5130,19,ok,2000,2000,100.0,1000.0,107.0,931.0,0.8167928871702574,0.8205742336009789
paragliders,closed,Hills,available segments,0,0.8648033747700282,1.7296067495400564,4.487076280499689,0.009468606884395395,97,92,20,ok,2000,2000,1000.0,10000.0,1049.0,10000.0,0.8462265553733482,0.8831249285708389
paragliders,closed,Hills,available segments,0,0.830145004248686,1.660290008497372,5.125041652079416,0.0015959663145426303,97,92,59,ok,2000,2000,10.0,10000.0,10.0,10000.0,0.8268966200143127,0.8332113605740196
