discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,Plains,available segments,10.0,10223.19523677973,7626,4710,10126.186880367777,10320.660965713538
paragliders,open,Plains,available segments,11.0,12265.171790404758,7626,4710,12144.150676272358,12390.67446005443
paragliders,open,Plains,available segments,12.0,13712.06168597917,7626,4710,13568.378766964192,13858.558060691705
paragliders,open,Plains,available segments,14.0,18817.024551997394,7626,4710,18619.623671003515,19015.354271315977
paragliders,open,Plains,available segments,16.0,23557.869009803617,7626,4710,23298.393325600948,23819.98483899407
paragliders,open,Plains,available segments,18.0,29693.13252983312,7626,4710,29373.139492527924,30023.356677489614
paragliders,open,Plains,available segments,20.0,34770.196158504645,7626,4710,34376.559433805196,35158.13355221875
paragliders,open,Plains,available segments,23.0,45353.769930668735,7626,4710,44832.59383679155,45894.36795455187
paragliders,open,Plains,available segments,25.0,50369.3391584138,7626,4710,49761.83604733113,50978.13403569235
paragliders,open,Plains,available segments,29.0,68258.63556453367,7626,4710,67427.26691547385,69096.9135592592
paragliders,open,Plains,available segments,32.0,79925.62647123083,7626,4710,78916.10207814227,80933.1832770279
paragliders,open,Plains,available segments,37.0,104964.0219178322,7626,4710,103631.52443587455,106346.97852569014
paragliders,open,Plains,available segments,41.0,127629.79638692223,7626,4710,125989.80361627381,129325.77408763871
paragliders,open,Plains,available segments,46.0,159992.16194532387,7626,4710,157893.78575930797,162166.12035065127
paragliders,open,Plains,available segments,52.0,198373.62412914715,7625,4710,195721.40444694724,201105.62431835145
paragliders,open,Plains,available segments,59.0,257532.8526865429,7623,4709,254085.009308806,261105.87674242433
paragliders,open,Plains,available segments,67.0,323554.76844169566,7623,4709,319114.9015450896,328109.69930457906
paragliders,open,Plains,available segments,75.0,404161.7579315386,7623,4709,398552.8484954568,409920.6032331623
paragliders,open,Plains,available segments,85.0,504516.32891860197,7622,4708,497417.20426115283,511803.17107449
paragliders,open,Plains,available segments,95.0,631867.8852521593,7621,4707,622883.7415023961,641138.5947764768
paragliders,open,Plains,available segments,107.0,785846.3274327916,7619,4706,774453.8852738864,797461.1457528096
paragliders,open,Plains,available segments,121.0,986103.0674843234,7619,4706,971630.8950333255,1000907.0767009336
paragliders,open,Plains,available segments,137.0,1250391.0598362722,7618,4705,1231669.545718816,1269306.8024263012
paragliders,open,Plains,available segments,154.0,1559493.6546617039,7617,4704,1536306.557953856,1583669.5451233534
paragliders,open,Plains,available segments,174.0,1965644.27740547,7612,4701,1935743.0784552966,1996012.7406786508
paragliders,open,Plains,available segments,196.0,2459231.563169452,7610,4699,2421150.9927757527,2497413.882002872
paragliders,open,Plains,available segments,221.0,3076881.4863833976,7610,4699,3028531.742112121,3125703.7269713744
paragliders,open,Plains,available segments,249.0,3856818.4267476806,7609,4699,3795740.609865333,3918574.1420309483
paragliders,open,Plains,available segments,281.0,4826791.30400927,7609,4699,4749605.991979159,4905392.250913408
paragliders,open,Plains,available segments,316.0,6020736.595490933,7604,4695,5924048.16781602,6119403.403502759
paragliders,open,Plains,available segments,357.0,7553970.507918793,7600,4692,7430081.488605356,7680276.413234673
paragliders,open,Plains,available segments,402.0,9417446.38277938,7596,4692,9261943.34158422,9576642.528522013
paragliders,open,Plains,available segments,453.0,11794784.512284713,7592,4690,11598811.535856292,11994900.215156736
paragliders,open,Plains,available segments,511.0,14766134.826732887,7591,4690,14516107.165067183,15018494.578397255
paragliders,open,Plains,available segments,576.0,18478123.34508583,7588,4688,18157925.10496489,18798577.573163383
paragliders,open,Plains,available segments,649.0,23117131.715559665,7587,4687,22710965.542309,23520332.352278892
paragliders,open,Plains,available segments,732.0,28969119.105231687,7584,4686,28452245.57731123,29487162.915476687
paragliders,open,Plains,available segments,825.0,36308247.47362925,7578,4681,35657046.317969196,36960203.1412811
paragliders,open,Plains,available segments,931.0,45662529.43927285,7575,4679,44837577.48715367,46496863.13786506
paragliders,open,Plains,available segments,1049.0,57320782.75834031,7566,4677,56276660.939640656,58392075.04204535
paragliders,open,Plains,available segments,1183.0,72094791.50048247,7559,4674,70756425.93501526,73458600.04141471
paragliders,open,Plains,available segments,1334.0,90646045.75836988,7460,4619,88955460.90933238,92408198.63795649
paragliders,open,Plains,available segments,1504.0,113793179.2616185,7252,4506,111572271.9966327,116053276.2002911
paragliders,open,Plains,available segments,1695.0,143775549.8807801,7008,4365,140857351.56198645,146684029.15027392
paragliders,open,Plains,available segments,1911.0,181875120.95365116,6688,4187,178030854.2748061,185758510.88731825
