group,flights,clusters,min_resampled_flights,max_resampled_flights,largest_cluster_fraction,H,H_low,H_high,bootstrap_vs_linearized_se_min,bootstrap_vs_linearized_se_max,full_band_width_pct_at_10,band_log10_width_at_10,full_band_width_pct_at_100,band_log10_width_at_100,full_band_width_pct_at_1000,band_log10_width_at_1000,full_band_width_pct_at_10000,band_log10_width_at_10000
all,46273,25682,44731,47511,0.0010157111058284529,0.8822765078884934,0.8814560484165417,0.8831537990842842,0.9762435364561908,1.0010377204219805,0.5489376755696364,0.002383893888607464,0.7846148582551239,0.0034074635809150677,1.1983793391101183,0.0052029613086647586,3.5485873157492676,0.015407472037099416
open,17961,12485,17389,18611,0.0011135237458938811,0.9098750335173963,0.9088386870813913,0.9109563647226663,0.9806882390830509,1.0012593819871025,1.0026295232958866,0.00435440370564473,1.3706747385725553,0.005953271951225853,2.0688224030932316,0.008983668857713362,4.185895352364701,0.018175808941787455
closed,28234,16008,27074,29481,0.001381313310193384,0.8555731734231193,0.8547400026203695,0.8564389081235971,0.9720112237311292,0.9875995929344594,0.5350894429462224,0.0023236419940079766,0.8169381420077189,0.0035468358643818486,1.209574018857002,0.005251193202461578,3.6746057367990157,0.015946823309061556
alt0,1844,1287,1618,2076,0.0070498915401301515,0.9495737534704646,0.948141622187876,0.9509170756767016,0.9966441452982022,1.004725728146417,3.1115073354584424,0.013515364219828999,4.283305563134782,0.01860221537887372,5.473727376117838,0.023773568258537017,6.952281243594522,0.03019295747193976
open_0,1679,1140,1472,1899,0.007742703990470518,0.9534469183293813,0.9522507554745288,0.9545940154377097,0.9853028721847636,0.9968756769974562,3.0831071704168673,0.013389443632359086,4.370500945703959,0.0189796240130245,5.464354076175527,0.023732717245398716,6.403187490086333,0.027806129019672703
closed_0,165,157,130,207,0.012121212121212121,0.8251132326790129,0.8158377303188222,0.8335097722487695,0.9793026688413732,1.0027603173346331,4.695560484381324,0.020378318429606284,8.837665322229839,0.0384153972283146,14.774797617630236,0.06425258776698071,38.22887816506091,0.16709847952704338
alt1,2908,2343,2693,3120,0.0034387895460797797,0.9285149118613788,0.9264951589228654,0.9305017310296554,0.9673824487846289,0.984041439579789,2.6434893688846817,0.01147687919541668,3.7051162596673732,0.016080793907298892,5.382671394031446,0.023366032241602643,8.332069853037993,0.03618109722320888
open_1,2068,1634,1890,2264,0.004835589941972921,0.9443164714744285,0.9428417251023494,0.9458098192840796,0.9802524570706884,0.9915376101833588,3.003749229865588,0.013046244732908203,4.124433697883956,0.017909465913096986,5.490141594735341,0.023837573178252663,7.240408743634138,0.0314177805560321
closed_1,839,756,725,952,0.0059594755661501785,0.8155142025621974,0.8122799978495752,0.81855168952904,0.9661440624369361,1.0008202419884946,2.2761591984638865,0.009879946131558568,3.2914801466094286,0.014286441444542188,5.034582656458491,0.021860755932198696,13.83560445280806,0.0601488155178077
alt2,22097,11881,21060,23147,0.0021269855636511744,0.8660297459125144,0.8649781954376677,0.8671162925983874,0.9687727999662813,1.002604236137687,0.6294680892315461,0.0027337134132135125,0.9531385899222761,0.00413910622209978,1.4383816503575386,0.006246713892576213,4.466141849723862,0.01939307829194502
