configuration,seed,group,archive_groups,contributing_groups,H,H_low,H_high,H_se_ratio,H_interval_width_ratio,MSD_se_ratio_at_100,full_band_width_pct_at_100,MSD_se_ratio_at_1000,full_band_width_pct_at_1000,MSD_se_ratio_at_10000,full_band_width_pct_at_10000
calendar_1day_all_sites,20260921,all,6086,3642,0.8822765078884933,0.8811006586220279,0.8835465416855114,1.4412098671472213,1.4406609344678705,1.650683750867582,1.25330433521618,1.6440682695012105,1.9104256043807668,1.4346715359255147,5.030948348591317
calendar_1day_all_sites,20260921,open,6086,2878,0.9098750335173964,0.9085000446912531,0.9114344720700103,1.3917572365138426,1.3856818061272722,1.3808734771839137,1.903347390145726,1.3903470953384225,2.871830494088595,1.3990507615938426,5.67904932696237
calendar_1day_all_sites,20260921,closed,6086,2746,0.8555731734231193,0.8539071461707394,0.8571381398084112,1.9599397716350746,1.9018089184675655,1.9182433301093964,1.5508423072686666,2.0309315394002603,2.428085754310601,1.9325706907329194,6.787045199104199
calendar_1day_all_sites,20260921,alt0,6086,777,0.9495737534704647,0.9479032249921386,0.9512238104151702,1.1816165241767473,1.196411842749403,1.1608798500618571,5.189144071381326,1.1702476602599095,6.646101999447455,1.169888141360003,8.29303511750759
calendar_1day_all_sites,20260921,open_0,6086,698,0.9534469183293819,0.9520720886002919,0.9548919408141717,1.1784373936593084,1.2033885519263836,1.163962740719623,5.0066404633749935,1.1715670137830618,6.313744725204719,1.1702474174433317,7.505908125889524
calendar_1day_all_sites,20260921,closed_0,6086,138,0.825113232679013,0.815041579450796,0.8344231399482741,1.0721690734291138,1.096735769092643,1.0151030981348999,8.684656905588975,1.035057731272518,14.29056389976036,1.0761648398693109,40.746851934765736
calendar_1day_all_sites,20260921,alt1,6086,1464,0.9285149118613792,0.9260426266521224,0.9310993837430873,1.2370780936674504,1.2621155831426407,1.2180368280015128,4.57161034873154,1.233030286702504,6.619747377977236,1.23769906180048,10.675419149410141
calendar_1day_all_sites,20260921,open_1,6086,1098,0.9443164714744288,0.9425984084070723,0.9460385880750223,1.1593784198424035,1.159053405086149,1.1548569087077873,4.767204380904567,1.1624567819799787,6.291832176838208,1.1606022664235096,8.194941234300988
calendar_1day_all_sites,20260921,closed_1,6086,614,0.8155142025621973,0.8120415484871214,0.8187817430321069,1.026737607231522,1.0747011953814785,1.1012606692326008,3.702202230375862,1.1026341526746446,5.74784999547587,1.0281075203794772,14.852274432234488
calendar_1day_all_sites,20260921,alt2,6086,2469,0.8660297459125146,0.8644868957843287,0.8674782471066274,1.4062667357412046,1.3990717434431794,1.5764524056003852,1.465426764617812,1.619608562809627,2.3090063915731824,1.3603440061344896,6.198741923027603
calendar_1day_all_sites,20260921,open_2,6086,1728,0.8934705307302683,0.8917996161083722,0.8951135765949072,1.2404444232125513,1.2005652419996449,1.2647947470941663,2.003140996519437,1.279070620164459,2.9064703436177464,1.242098679451936,6.686273336012005
calendar_1day_all_sites,20260921,closed_2,6086,1993,0.8457767240497229,0.8436013466363421,0.8478903039710446,1.6485683178708057,1.6531485602569638,1.6184834973142275,1.7092200250397938,1.7020891064627928,2.782381162773495,1.6018816908072058,8.86718608981477
calendar_1day_all_sites,20260921,alt3,6086,2242,0.8750917993130573,0.8736001080078698,0.8765335502906246,1.6571380729529583,1.6529672113164424,1.7309055256698185,1.6702793288483442,1.7964997380764511,2.5543174463967353,1.5893960783344265,5.683869563689918
calendar_1day_all_sites,20260921,open_3,6086,1625,0.8891615767488434,0.8875117107993,0.8908249216316318,1.3360039397241443,1.3099306522845782,1.2680932872741169,1.8048771146845597,1.328771943294655,2.9168928575000916,1.3198180972447826,6.267674973247387
calendar_1day_all_sites,20260921,closed_3,6086,1770,0.8664200885552842,0.8645965718778107,0.8682721320094692,1.7630819871387882,1.724221470402353,1.662776381394228,1.992277754174527,1.7468302357313221,3.0960636034202036,1.7291158551517265,7.920186334383096
calendar_1day_all_sites,20260921,mountains,6086,3142,0.8705558282227132,0.8692820376969442,0.871716462609554,1.7163769909168498,1.718313971939574,1.9307314160493494,1.3066557094234936,2.014255666703494,2.0128269718280283,1.645094087023935,4.820910960635295
calendar_1day_all_sites,20260921,lowlands,6086,1779,0.9379143176166242,0.9359454237459025,0.9398640326721911,1.2967176456323715,1.2596737387603876,1.276069295494439,4.354347555264784,1.2909259861531157,6.1079050856806365,1.2920634302338354,8.736191429404107
calendar_1day_all_sites,20260921,beginners,6086,2730,0.8698786732345224,0.8686104991855144,0.871200642464025,1.457160752968324,1.424154023280756,1.9359561979266575,1.3869113837991573,1.9034955485662244,2.2268314384970074,1.414509856100646,5.185956229523331
calendar_1day_all_sites,20260921,beginners_mountains,6086,2460,0.8624103546702507,0.8610148040787957,0.8638045206801815,1.6454039799593398,1.6055574075308383,2.04249977183036,1.5057879117530073,2.0522847213169464,2.444589973002045,1.570658348031993,5.451942829259619
calendar_1day_all_sites,20260921,beginners_lowlands,6086,999,0.9281761575309166,0.9258551689734562,0.9305832824521212,1.2139700382881689,1.2441463571548679,1.170577667716994,4.044341787729044,1.1930847598513319,5.978163687090034,1.2070503565388209,9.179213658679883
calendar_1day_all_sites,20260921,beginners_alt0,6086,424,0.9396226270351106,0.9371813941485021,0.942201110468188,1.155298611445846,1.1509982258492673,1.1654162471689105,6.016050759441548,1.1685092405891069,8.099509130401929,1.1678395008370708,10.883479568361896
calendar_1day_all_sites,20260921,beginners_alt1,6086,778,0.9201659745549254,0.9172865956768252,0.9230998459810644,1.1337249314632827,1.1258074844179797,1.09435035182213,4.374778298022216,1.1213841448114383,6.60301092803681,1.127388358912479,11.056569487181552
calendar_1day_all_sites,20260921,beginners_alt2,6086,1875,0.8568831605745169,0.8551406036190442,0.8585041067382364,1.2760083406292486,1.3106676256534004,1.571606766037088,1.6282668854647486,1.5650793619530143,2.6041209297044885,1.217498441423063,6.70926906862229
calendar_1day_all_sites,20260921,beginners_alt3,6086,1778,0.8679627559631677,0.8661921461304731,0.8696969868866951,1.5852068875460559,1.5814669698842734,1.8469837135015097,1.8109075727958197,1.8255139877957458,2.9303272502848383,1.5473134553454388,6.682328913169734
calendar_1day_all_sites,20260921,experts,6086,2817,0.8945499375018993,0.8931236303207937,0.8960350479964451,1.3282469054557775,1.3536555305065612,1.4410784563783534,1.6180831210447963,1.4144740800705373,2.398664308631541,1.334081433099831,6.168053903404322
calendar_1day_all_sites,20260921,experts_mountains,6086,2346,0.8806300089723654,0.8791992387963586,0.8819387391603953,1.519074893550123,1.5146660759323265,1.7349763808056915,1.673569260879969,1.7636602881768364,2.3169387569274975,1.5115970523333444,5.835159738319128
