group,flights,clusters,H,H_low,H_high
all,46273,25682,0.8822765078884937,0.8814560484165418,0.8831537990842846
open,17961,12485,0.9098750335173956,0.9088386870813919,0.9109563647226664
closed,28234,16008,0.8555731734231196,0.8547400026203696,0.8564389081235976
alt0,1844,1287,0.9495737534704644,0.9481416221878759,0.9509170756767017
open_0,1679,1140,0.9534469183293812,0.9522507554745293,0.9545940154377105
closed_0,165,157,0.825113232679013,0.8158377303188225,0.8335097722487694
alt1,2908,2343,0.9285149118613794,0.9264951589228659,0.9305017310296554
open_1,2068,1634,0.9443164714744285,0.9428417251023499,0.9458098192840803
closed_1,839,756,0.8155142025621968,0.8122799978495753,0.818551689529041
alt2,22097,11881,0.8660297459125152,0.8649781954376674,0.8671162925983873
open_2,7412,5255,0.8934705307302683,0.8921196696098141,0.8948800031348926
closed_2,14649,7954,0.8457767240497231,0.844589344536485,0.8471837619033289
alt3,19424,10845,0.8750917993130577,0.8741913509435224,0.8759660033762333
open_3,6802,4794,0.8891615767488439,0.8878580035778558,0.8903873060463123
closed_3,12581,7406,0.8664200885552837,0.8653620666448437,0.8674937882332546
mountains,41521,22401,0.8705558282227134,0.8698767299519959,0.8712934820429199
lowlands,4752,3480,0.9379143176166247,0.9363566576270449,0.9394674702174105
beginners,27609,16454,0.8698786732345221,0.8690180904094638,0.8708368145335194
beginners_mountains,25691,14960,0.8624103546702504,0.8615208398984996,0.8632583776460143
beginners_lowlands,1918,1585,0.9281761575309165,0.9262493836790079,0.930049670881132
beginners_alt0,703,582,0.9396226270351107,0.9374268718957013,0.9417880570017707
beginners_alt1,1215,1059,0.9201659745549253,0.9174738907927372,0.9226375181310684
beginners_alt2,13757,7887,0.856883160574517,0.8555704115749196,0.8581366633487174
beginners_alt3,11934,7271,0.8679627559631675,0.8668342564166124,0.8690504524061358
experts,16497,11848,0.8945499375018995,0.8934960547995956,0.8956468365975037
experts_mountains,14038,9953,0.880630008972365,0.8797971687399604,0.8816058184532979
experts_lowlands,2459,1949,0.941616395927405,0.9397432592201284,0.9433599331778172
experts_alt0,955,725,0.9527392732808462,0.9510947768294917,0.9542859256228595
experts_alt1,1504,1281,0.9326933211400794,0.9300860851521455,0.9353082753323912
experts_alt2,7390,5230,0.8775395582142617,0.8762290842280757,0.8789819470512371
experts_alt3,6648,4796,0.8837081882077902,0.882617268721848,0.8848434786663578
alps,32790,16744,0.8702414810219813,0.8695482719508553,0.8709923977278948
pyrenees,2257,1462,0.833276610731182,0.8292498912742953,0.8373375250172211
channel_coast,1068,634,0.9530846559284135,0.9508046487178965,0.9552606742242791
champagne_lorraine,798,498,0.9550979395870852,0.9533174124486683,0.9567605550749275
