group,lag_s,flights,point,low,high
all,10,46273,8863.845216588807,8839.9559623445,8888.612948242551
all,20,46273,30366.856961222868,30274.138949851058,30460.199526341494
all,30,46273,64302.7011782892,64097.192011530744,64516.47522361266
all,40,46273,110247.47607868363,109873.52550201272,110631.66640605815
all,50,46273,167645.4649478948,167056.2529454489,168248.88767151046
all,60,46273,236136.34122905385,235282.99718254662,237004.43769162026
all,80,46273,405074.0576061664,403546.32523570245,406629.07388162595
all,90,46273,504932.6084267594,502995.79461140546,506900.9939406889
all,100,46273,614697.1473775381,612302.4096878341,617125.4148394295
all,110,46273,734125.8333734017,731217.5199663733,737060.948019539
all,140,46273,1148213.169522429,1143538.2214543323,1152944.9736360123
all,170,46273,1641943.8459436423,1635035.6968767466,1648886.5049164803
all,210,46273,2416463.257094806,2406009.8869583905,2427104.1958903545
all,260,46273,3559396.067542965,3543498.4739214103,3575632.4637861797
all,320,46273,5169980.490065833,5146247.127272769,5194451.282133604
all,390,46273,7357042.209594549,7322284.724801495,7393061.681566565
all,470,46273,10238330.511137009,10188418.931107545,10290915.326495595
all,580,46273,14826842.187183065,14752264.23582684,14907005.347939316
all,710,46273,21133433.56580782,21022732.80345888,21254410.600570083
all,870,46273,30138089.73132823,29971923.48812176,30319257.58029912
all,1000,46273,38415664.97888091,38197268.30729045,38657633.69937909
all,1070,46273,43216399.88241741,42967597.28436311,43494838.7919452
all,1310,46273,61425123.60818831,61051228.903175294,61839862.223774575
all,1610,46273,87790559.41731754,87236140.5153749,88415172.40932424
all,1970,46273,124319754.37159091,123481256.56165859,125252102.64412946
all,2410,46273,175506086.41443217,174221986.84666112,176926428.6353399
all,2960,46273,248330534.57580754,246348680.79133308,250504504.7131196
all,3620,46273,346530175.3509576,343574008.9251939,349801720.649513
all,4440,46273,481002817.60107994,476457596.27090585,485964296.21128446
all,5440,46273,656914702.8079895,649957089.3071387,664447183.2878044
all,6660,46273,878290265.8624192,867543273.6518589,889621908.704275
all,8160,46273,1144303261.0535274,1127885030.8219097,1161463900.5688694
all,10000,46273,1444562811.0101824,1419444243.357916,1470705816.0374694
open,10,17961,9294.164054281537,9247.56562928422,9340.751662035987
open,20,17961,31742.699896028244,31563.0975023745,31920.90938441742
open,30,17961,67079.3671174927,66682.77405648428,67475.48984787322
open,40,17961,115024.01978943308,114317.7822300086,115724.34954005021
open,50,17961,174997.81546895564,173890.53821936698,176086.31836457248
open,60,17961,246657.2359801927,245073.57262725435,248230.66581698455
open,80,17961,423773.2705330722,420939.52155977604,426575.8887547504
open,90,17961,528671.80318153,525066.7716289083,532216.4212930081
open,100,17961,644129.226975525,639669.9767192953,648498.8933172098
open,110,17961,769917.5832333211,764549.4920222795,775195.6843740519
open,140,17961,1207200.8666933854,1198579.6471712478,1215719.9397291339
open,170,17961,1730548.1857512444,1717752.3272393818,1743070.1240282145
open,210,17961,2555006.085245265,2535659.267172593,2574115.230943602
open,260,17961,3777943.0622002087,3748359.313160452,3807153.3243157696
open,320,17961,5511742.874750029,5467553.982020521,5556071.618634647
open,390,17961,7882365.425948676,7817657.387630033,7948055.064581497
open,470,17961,11029423.318224205,10935233.193369197,11125006.090093931
open,580,17961,16088246.071986439,15944396.7741046,16234637.896478409
open,710,17961,23120206.838419367,22903815.84956338,23341569.215192627
open,870,17961,33292979.07946615,32963736.917251937,33631210.852849476
