discipline,estimator,t_s,msd_m2,n_flights,sem_m2
paragliders,segment,1.0,102.89848639950472,134795.0,
paragliders,segment,2.0,404.12041713458314,149728.0,
paragliders,segment,3.0,950.3035810212307,158996.0,
paragliders,segment,4.0,1512.413182961205,162217.0,
paragliders,segment,5.0,2300.1795758259814,182087.0,
paragliders,segment,6.0,3222.7103996454634,183155.0,
paragliders,segment,7.0,4212.594218190373,183617.0,
paragliders,segment,8.0,5883.758813964642,184743.0,
paragliders,segment,9.0,6890.3878241490465,184880.0,
paragliders,segment,10.0,8113.019823363759,190762.0,
paragliders,segment,11.0,9760.551577690894,191427.0,
paragliders,segment,12.0,10969.08666184203,191964.0,
paragliders,segment,14.0,14944.76001765185,192353.0,
paragliders,segment,16.0,18625.816741344108,192787.0,
paragliders,segment,18.0,23563.672302043728,192807.0,
paragliders,segment,20.0,27770.475531411925,193254.0,
paragliders,segment,23.0,36352.93361539882,193298.0,
paragliders,segment,25.0,40491.11390404223,193369.0,
paragliders,segment,29.0,54542.76613010669,193435.0,
paragliders,segment,32.0,64296.982891481915,193664.0,
paragliders,segment,37.0,83850.7363243443,193700.0,
paragliders,segment,41.0,101840.32771479047,193727.0,
paragliders,segment,46.0,127233.35219548513,193753.0,
paragliders,segment,52.0,157674.78094478475,193186.0,
paragliders,segment,59.0,202873.98986067166,192248.0,
paragliders,segment,67.0,254093.08146240216,191365.0,
paragliders,segment,75.0,315891.495038823,190263.0,
paragliders,segment,85.0,393518.02243639156,189150.0,
paragliders,segment,95.0,488801.0813951274,188190.0,
paragliders,segment,107.0,604480.7562503535,187312.0,
paragliders,segment,121.0,754228.6679370471,186088.0,
paragliders,segment,137.0,948859.3253422213,184393.0,
paragliders,segment,154.0,1175430.540926605,183110.0,
paragliders,segment,174.0,1468166.03585676,181975.0,
paragliders,segment,196.0,1818105.7039203383,180867.0,
paragliders,segment,221.0,2251828.6736436505,179743.0,
paragliders,segment,249.0,2788807.350325099,178554.0,
paragliders,segment,281.0,3448066.7350556855,177356.0,
paragliders,segment,316.0,4241975.981862482,176006.0,
paragliders,segment,357.0,5244796.704658048,174747.0,
paragliders,segment,402.0,6442318.16278732,173278.0,
paragliders,segment,453.0,7931242.851615256,172005.0,
paragliders,segment,511.0,9748695.994119735,170740.0,
paragliders,segment,576.0,11966999.050934631,169482.0,
paragliders,segment,649.0,14657385.193856947,168121.0,
paragliders,segment,732.0,17975332.393071756,166941.0,
paragliders,segment,825.0,21999796.971811824,165729.0,
paragliders,segment,931.0,26975220.06908786,164463.0,
paragliders,segment,1049.0,32954079.161349013,163326.0,
paragliders,segment,1183.0,40279490.098056346,162131.0,
paragliders,segment,1334.0,49091143.05702704,160182.0,
paragliders,segment,1504.0,59742826.79710771,157551.0,
paragliders,segment,1695.0,72734792.24285735,154121.0,
paragliders,segment,1911.0,88530981.95629163,149610.0,
paragliders,segment,2155.0,108145152.94599259,143864.0,
paragliders,segment,2429.0,132545916.42487651,136668.0,
paragliders,segment,2739.0,163248869.83309388,128163.0,
paragliders,segment,3088.0,202042641.18481994,118191.0,
paragliders,segment,3481.0,251464482.88646328,107081.0,
paragliders,segment,3925.0,315930322.0773197,94859.0,
paragliders,segment,4425.0,398704262.46953744,82308.0,
paragliders,segment,4989.0,506499280.9403815,69343.0,
paragliders,segment,5624.0,647297164.4138608,57061.0,
paragliders,segment,6341.0,829588037.3660038,45533.0,
paragliders,segment,7149.0,1056839403.4349701,35451.0,
paragliders,segment,8059.0,1352229658.3294923,26740.0,
paragliders,segment,9086.0,1729406838.500409,19408.0,
paragliders,segment,10000.0,2111980424.4693134,14480.0,
paragliders,segment,10244.0,2223202005.7979097,13363.0,
paragliders,segment,11549.0,2879974042.5588236,8449.0,
paragliders,segment,13021.0,3797589894.769918,4870.0,
paragliders,segment,14680.0,5002798591.583059,2432.0,
paragliders,segment,16550.0,6794325222.834242,917.0,
paragliders,segment,18659.0,8585898404.371585,183.0,
paragliders,segment,21037.0,7991955712.0,6.0,
paragliders,segment,23717.0,,0.0,
paragliders,segment,26739.0,,0.0,
paragliders,segment,30146.0,,0.0,
paragliders,segment,33987.0,,0.0,
paragliders,segment,38318.0,,0.0,
paragliders,segment,43200.0,,0.0,
paragliders,flight,1.0,101.31888655508152,109364.0,
paragliders,flight,2.0,398.68874830060724,122248.0,
paragliders,flight,3.0,942.5784030076381,130505.0,
paragliders,flight,4.0,1492.29280326035,133113.0,
paragliders,flight,5.0,2279.9077566249966,149564.0,
paragliders,flight,6.0,3192.651086298602,150221.0,
paragliders,flight,7.0,4175.521677662901,150464.0,
paragliders,flight,8.0,5858.756335515155,150792.0,
paragliders,flight,9.0,6840.434176827298,150851.0,
paragliders,flight,10.0,8054.928990378881,155085.0,
paragliders,flight,11.0,9711.355623934114,155212.0,
paragliders,flight,12.0,10861.46355864466,155300.0,
paragliders,flight,14.0,14871.735092218245,155357.0,
