discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_100,raw,0,1.0,3642,
para,msd_100,raw,1,0.2348850808570942,2503,1.0
para,msd_100,raw,2,0.14136108954538976,2312,1.2348850808570941
para,msd_100,raw,3,0.09863754520336837,2257,1.407420834173052
para,msd_100,raw,4,0.07268052067650976,2246,1.5430074834327152
para,msd_100,raw,5,0.04460945128635437,2183,1.653431681259117
para,msd_100,raw,6,0.032682853161630304,2214,1.7419176302388362
para,msd_100,raw,7,0.09311431044064401,2181,1.8144598375562446
para,msd_100,raw,8,0.06694378320682814,2174,1.8921450706544618
para,msd_100,raw,9,0.07215620695138578,2171,1.9674433148879256
para,msd_100,raw,10,0.07851274597408536,2183,2.0421131516649744
para,msd_100,raw,11,0.06509056968663567,2130,2.11748169920512
para,msd_100,raw,12,0.06475911940717168,2155,2.1911372504363475
para,msd_100,raw,13,0.04614686579034737,2172,2.26342411984849
para,msd_100,raw,14,0.05235195808918287,2167,2.331976703028947
para,msd_100,raw,15,0.07034441617193037,2158,2.398369202863901
para,msd_100,raw,16,0.05138033441950364,2165,2.465255692240977
para,msd_100,raw,17,0.06775142225597847,2115,2.5303179280936323
para,msd_100,raw,18,0.08382104638263557,2132,2.5956789624355467
para,msd_100,raw,19,0.04224911392415013,2139,2.6629831559396413
para,msd_100,raw,20,0.06581068632439661,2121,2.7277818414857418
para,msd_100,raw,21,0.06188329474862561,2114,2.792676908058347
para,msd_100,raw,22,0.03594456643951101,2144,2.8572981771924075
para,msd_100,raw,23,0.03303136078041682,2077,2.9194258200052046
para,msd_100,raw,24,0.021385729941820274,2108,2.979128772648635
para,msd_100,raw,25,0.025902666759365922,2079,3.035766347475938
para,msd_100,raw,26,0.04077601619535386,2083,3.0900396986057066
para,msd_100,raw,27,0.04852449348549899,2071,3.143313247147741
para,msd_100,raw,28,0.053698444326108596,2104,3.196247577471451
para,msd_100,raw,29,0.0646540247646951,2078,3.249234605312567
para,msd_100,raw,30,0.05926167774647302,2066,3.3029994329485906
para,msd_100,raw,31,0.02084352389933075,2065,3.3571188960756095
para,msd_100,raw,32,0.017279947129118626,2082,3.4091586130008977
para,msd_100,raw,33,0.01226255167694419,2052,3.459091677211267
para,msd_100,raw,34,0.032020167470666376,2045,3.506808828919671
para,msd_100,raw,35,0.005936222544500915,2056,3.5536290101002033
para,msd_100,raw,36,0.023919655669036505,2041,3.5981778602454
