epsg,ix,iy,x_min_m,y_min_m,x_max_m,y_max_m
32611,4,76,200000.0,3800000.0,250000.0,3850000.0
32611,5,76,250000.0,3800000.0,300000.0,3850000.0
32611,5,81,250000.0,4050000.0,300000.0,4100000.0
32611,6,83,300000.0,4150000.0,350000.0,4200000.0
32611,6,84,300000.0,4200000.0,350000.0,4250000.0
32611,7,82,350000.0,4100000.0,400000.0,4150000.0
32611,7,83,350000.0,4150000.0,400000.0,4200000.0
32611,8,80,400000.0,4000000.0,450000.0,4050000.0
32611,9,75,450000.0,3750000.0,500000.0,3800000.0
32611,10,74,500000.0,3700000.0,550000.0,3750000.0
32613,13,43,650000.0,2150000.0,700000.0,2200000.0
32614,7,42,350000.0,2100000.0,400000.0,2150000.0
32614,8,41,400000.0,2050000.0,450000.0,2100000.0
32614,10,60,500000.0,3000000.0,550000.0,3050000.0
32614,14,68,700000.0,3400000.0,750000.0,3450000.0
32616,13,22,650000.0,1100000.0,700000.0,1150000.0
32617,4,20,200000.0,1000000.0,250000.0,1050000.0
32617,8,63,400000.0,3150000.0,450000.0,3200000.0
32618,7,7,350000.0,350000.0,400000.0,400000.0
32618,7,8,350000.0,400000.0,400000.0,450000.0
32618,7,9,350000.0,450000.0,400000.0,500000.0
32618,7,10,350000.0,500000.0,400000.0,550000.0
32618,7,11,350000.0,550000.0,400000.0,600000.0
32618,8,12,400000.0,600000.0,450000.0,650000.0
32618,8,13,400000.0,650000.0,450000.0,700000.0
32618,8,14,400000.0,700000.0,450000.0,750000.0
32618,9,14,450000.0,700000.0,500000.0,750000.0
32618,13,100,650000.0,5000000.0,700000.0,5050000.0
32626,12,83,600000.0,4150000.0,650000.0,4200000.0
32627,15,61,750000.0,3050000.0,800000.0,3100000.0
32628,4,63,200000.0,3150000.0,250000.0,3200000.0
32628,6,62,300000.0,3100000.0,350000.0,3150000.0
32628,7,62,350000.0,3100000.0,400000.0,3150000.0
32628,7,63,350000.0,3150000.0,400000.0,3200000.0
32628,7,145,350000.0,7250000.0,400000.0,7300000.0
32628,12,64,600000.0,3200000.0,650000.0,3250000.0
32629,8,65,400000.0,3250000.0,450000.0,3300000.0
32629,9,65,450000.0,3250000.0,500000.0,3300000.0
32629,10,65,500000.0,3250000.0,550000.0,3300000.0
32629,10,69,500000.0,3450000.0,550000.0,3500000.0
32629,11,68,550000.0,3400000.0,600000.0,3450000.0
32629,11,69,550000.0,3450000.0,600000.0,3500000.0
32629,12,69,600000.0,3450000.0,650000.0,3500000.0
32629,12,87,600000.0,4350000.0,650000.0,4400000.0
32629,12,88,600000.0,4400000.0,650000.0,4450000.0
32629,12,89,600000.0,4450000.0,650000.0,4500000.0
32629,12,92,600000.0,4600000.0,650000.0,4650000.0
32629,13,91,650000.0,4550000.0,700000.0,4600000.0
32629,13,127,650000.0,6350000.0,700000.0,6400000.0
32629,14,86,700000.0,4300000.0,750000.0,4350000.0
32629,14,87,700000.0,4350000.0,750000.0,4400000.0
32629,14,88,700000.0,4400000.0,750000.0,4450000.0
32630,5,81,250000.0,4050000.0,300000.0,4100000.0
32630,5,89,250000.0,4450000.0,300000.0,4500000.0
32630,6,81,300000.0,4050000.0,350000.0,4100000.0
32630,6,89,300000.0,4450000.0,350000.0,4500000.0
32630,6,91,300000.0,4550000.0,350000.0,4600000.0
32630,7,81,350000.0,4050000.0,400000.0,4100000.0
32630,7,82,350000.0,4100000.0,400000.0,4150000.0
32630,7,89,350000.0,4450000.0,400000.0,4500000.0
32630,7,90,350000.0,4500000.0,400000.0,4550000.0
32630,8,81,400000.0,4050000.0,450000.0,4100000.0
32630,8,83,400000.0,4150000.0,450000.0,4200000.0
32630,8,87,400000.0,4350000.0,450000.0,4400000.0
32630,8,90,400000.0,4500000.0,450000.0,4550000.0
32630,8,91,400000.0,4550000.0,450000.0,4600000.0
32630,8,106,400000.0,5300000.0,450000.0,5350000.0
32630,8,107,400000.0,5350000.0,450000.0,5400000.0
32630,9,82,450000.0,4100000.0,500000.0,4150000.0
32630,9,85,450000.0,4250000.0,500000.0,4300000.0
32630,9,87,450000.0,4350000.0,500000.0,4400000.0
32630,9,91,450000.0,4550000.0,500000.0,4600000.0
32630,9,95,450000.0,4750000.0,500000.0,4800000.0
32630,9,108,450000.0,5400000.0,500000.0,5450000.0
32630,10,83,500000.0,4150000.0,550000.0,4200000.0
32630,10,84,500000.0,4200000.0,550000.0,4250000.0
32630,10,106,500000.0,5300000.0,550000.0,5350000.0
32630,10,107,500000.0,5350000.0,550000.0,5400000.0
32630,10,108,500000.0,5400000.0,550000.0,5450000.0
32630,11,89,550000.0,4450000.0,600000.0,4500000.0
