discipline,statistic,lag_s,ratio,lower,upper,excludes_one,lever_arm_s,origins_early
hang,m1,10,1.0650755579407234,1.0600885996348794,1.0703862267910955,True,11742.187542233287,1364884.0
hang,m1,20,1.1292891810010872,1.1220567038107987,1.1366149168751265,True,11735.476450229848,1364119.0
hang,m1,30,1.1506004670526127,1.1424273270983005,1.1592267307221584,True,11728.834145844636,1363338.0
hang,m1,40,1.1609207682625473,1.1520485366828945,1.1700532105229087,True,11722.187560120457,1362557.0
hang,m1,50,1.1677524261949674,1.1584317244408424,1.1775075777906698,True,11715.476468117016,1361792.0
hang,m1,60,1.1727252278144285,1.162944077488873,1.1829540892813812,True,11708.834163731806,1361011.0
hang,m1,80,1.1796327326785803,1.1689875296247927,1.1906873678629373,True,11695.47648608605,1359465.0
hang,m1,90,1.1822043933045203,1.1712158700402957,1.1935547764102339,True,11688.83418170084,1358684.0
hang,m1,100,1.184268969708164,1.1730463468395769,1.1958318942062431,True,11682.187596140951,1357903.0
hang,m1,110,1.1860611566509451,1.1746126847765856,1.197836291203182,True,11675.476504137512,1357138.0
hang,m1,140,1.1901701732882655,1.1780032490498735,1.2023081307654648,True,11655.476522271967,1354811.0
hang,m1,170,1.1928599420563195,1.180216538557129,1.2056348072188172,True,11635.476540489992,1352484.0
hang,m1,210,1.1947885671514797,1.1815618235716274,1.2082243469643863,True,11608.834254406955,1349376.0
hang,m1,260,1.1953119939642531,1.1814399742455757,1.2094330753810296,True,11575.476595651298,1345503.0
hang,m1,320,1.19408725297946,1.1796711252544918,1.2089742834224138,True,11535.476632854106,1340849.0
hang,m1,390,1.1910418906404492,1.1761176790086234,1.2062188868770638,True,11488.834366020206,1335414.0
hang,m1,470,1.1858334996458906,1.1705453734868239,1.2017502515396126,True,11435.476727396615,1329214.0
hang,m1,580,1.1774438717369407,1.161559647514238,1.1933635061369852,True,11362.187896654794,1320671.0
hang,m1,710,1.166980843731892,1.1502613219438942,1.1831212735359746,True,11275.476883391759,1310598.0
hang,m1,870,1.1540306626051324,1.1371215585360421,1.1707410496779758,True,11168.834679587359,1298182.0
hang,m1,1000,1.1437190151541854,1.1265308530726066,1.1604408928469168,True,11082.188179034178,1288093.0
hang,m1,1070,1.1384301721346743,1.1211068638962123,1.1550844852903173,True,11035.47712896827,1282674.0
hang,m1,1310,1.1218067408934103,1.1043909694907916,1.1389546669418855,True,10875.477300954515,1264058.0
hang,m1,1610,1.103905070979171,1.0868564033777288,1.120659642948388,True,10675.477525962426,1240788.0
hang,m1,1970,1.0866040380718225,1.0700606472897007,1.102955097677278,True,10435.47781185483,1212864.0
hang,m1,2410,1.0699353371808626,1.0535001467856393,1.085796198215725,True,10142.189288100844,1178724.0
hang,m1,2960,1.0534464860522634,1.0374136218200152,1.068706969124952,True,9775.478701810214,1136073.0
hang,m1,3620,1.0362092667982539,1.0209949315065565,1.0499213923123425,True,9335.479397407527,1084879.0
hang,m1,4440,1.0139448890828426,0.9994814271595512,1.026864978654851,False,8788.838089965724,1021269.0
hang,m1,5440,0.9862833485036991,0.9719257172328782,0.9994883582955235,True,8122.193038586388,943697.0
hang,m1,6660,0.9541010716734628,0.9389533398364566,0.9684289380374771,True,7308.842088240631,849071.0
hang,m1,8160,0.9260584341704415,0.9098397454911507,0.9423219140624719,True,6308.846783769398,732721.0
hang,m1,10000,0.9246735363177598,0.9073902352086035,0.9423008235162901,True,5082.212154642353,589993.0
hang,m2,10,1.0970043229596738,1.0862496955249703,1.1078147935533842,True,11742.187542233287,1364884.0
hang,m2,20,1.1681172587132267,1.1543181003808543,1.1821974010859861,True,11735.476450229848,1364119.0
hang,m2,30,1.1956204829404995,1.1801495643720648,1.211395299885098,True,11728.834145844636,1363338.0
hang,m2,40,1.2106793242418163,1.1941017810786418,1.2278224071197292,True,11722.187560120457,1362557.0
hang,m2,50,1.2219650668552697,1.2045281046223655,1.2397902301121102,True,11715.476468117016,1361792.0
hang,m2,60,1.2314542925641243,1.2131494566281875,1.250022254419706,True,11708.834163731806,1361011.0
hang,m2,80,1.2472290734856983,1.2275418778441147,1.2671304058868793,True,11695.47648608605,1359465.0
hang,m2,90,1.254130745822646,1.233845373494947,1.274553332127273,True,11688.83418170084,1358684.0
hang,m2,100,1.2604295328661386,1.239754817908357,1.2812725334287438,True,11682.187596140951,1357903.0
hang,m2,110,1.2663623230862984,1.245342982172919,1.287651075689179,True,11675.476504137512,1357138.0
hang,m2,140,1.282088813209358,1.2598696466959698,1.304837394435604,True,11655.476522271967,1354811.0
hang,m2,170,1.2952181713068176,1.2721531368333094,1.318857948477473,True,11635.476540489992,1352484.0
hang,m2,210,1.309519049964271,1.2852658702377033,1.3341099032008725,True,11608.834254406955,1349376.0
hang,m2,260,1.3226785340015828,1.2975027256482536,1.347554858081864,True,11575.476595651298,1345503.0
hang,m2,320,1.3325801387966145,1.3062167456160418,1.3585155901624872,True,11535.476632854106,1340849.0
hang,m2,390,1.3373518738555474,1.309731550240952,1.3640993513731032,True,11488.834366020206,1335414.0
hang,m2,470,1.3354924638967351,1.3072451414254593,1.3639169115310188,True,11435.476727396615,1329214.0
hang,m2,580,1.32476181236468,1.2955559609112925,1.3543008801490581,True,11362.187896654794,1320671.0
hang,m2,710,1.3058287495417968,1.2763687374451682,1.3361878499168716,True,11275.476883391759,1310598.0
hang,m2,870,1.279807569139392,1.250557624245858,1.3112821549228666,True,11168.834679587359,1298182.0
hang,m2,1000,1.2589373163782651,1.229116431593943,1.2904725164809854,True,11082.188179034178,1288093.0
hang,m2,1070,1.248273222368232,1.2182361298009592,1.2798475308611894,True,11035.47712896827,1282674.0
hang,m2,1310,1.215314905716734,1.1855697072179205,1.2470178796844624,True,10875.477300954515,1264058.0
hang,m2,1610,1.1815670400231397,1.1513612992254194,1.2123498706615636,True,10675.477525962426,1240788.0
hang,m2,1970,1.1503898602920695,1.1199778516254544,1.1814384742339663,True,10435.47781185483,1212864.0
hang,m2,2410,1.121163936140832,1.090405658586979,1.1521643418880756,True,10142.189288100844,1178724.0
hang,m2,2960,1.0937426380366735,1.064469899413469,1.1238093723376248,True,9775.478701810214,1136073.0
hang,m2,3620,1.0659406743325177,1.0376836302188321,1.0942015449239846,True,9335.479397407527,1084879.0
hang,m2,4440,1.030887842027188,1.0037545387334543,1.0575478704484071,True,8788.838089965724,1021269.0
