discipline,estimator,t_s,msd_m2,n_flights,sem_m2,p10_m2,p50_m2,p90_m2
paragliders,ensemble,1.0,57.36336753607917,108117,0.4688249629657351,28.25262451171875,39.66617202758789,80.30233001708984
paragliders,ensemble,2.0,232.64732695488735,120701,1.384823373438719,124.64346313476562,178.293212890625,328.677734375
paragliders,ensemble,3.0,505.6574033078605,128748,2.2917942196215444,261.379150390625,418.836669921875,738.7905883789062
paragliders,ensemble,4.0,938.264172541644,131302,3.6695010222078075,514.826171875,795.9955444335938,1354.39208984375
paragliders,ensemble,5.0,1556.4528858491756,147361,7.354747113723916,786.4126586914062,1273.8299560546875,2207.712890625
paragliders,ensemble,6.0,2128.0405213418267,147955,8.073070537863215,1117.991943359375,1816.28955078125,3039.892822265625
paragliders,ensemble,7.0,2722.760734996542,148160,9.066987111472141,1300.0341796875,2379.90087890625,3991.072265625
paragliders,ensemble,8.0,4165.413450940126,148451,18.052308584029785,2270.649658203125,3502.824462890625,5925.57080078125
paragliders,ensemble,9.0,4878.888138567448,148492,18.256402752497426,2653.17138671875,4233.5673828125,6957.271484375
paragliders,ensemble,10.0,5915.308490016604,152564,19.804647484328882,3140.642333984375,5196.54541015625,8479.7041015625
paragliders,ensemble,11.0,7021.556156426487,152681,21.035475572371134,3599.878173828125,6242.0009765625,10215.28125
paragliders,ensemble,12.0,8121.688860855937,152752,22.04918662958055,3853.45361328125,7347.6640625,12005.6650390625
paragliders,ensemble,14.0,11275.626342745958,152792,30.715694947495482,4899.0390625,10313.751953125,16860.47265625
paragliders,ensemble,16.0,14280.679472775597,153055,37.445777250036635,5583.017578125,13207.166015625,21711.13671875
paragliders,ensemble,18.0,18121.167593114176,153071,44.365332573159336,5410.57666015625,17085.650390625,28065.615234375
paragliders,ensemble,20.0,21472.85025725784,153398,49.888967057608546,5011.267578125,20619.310546875,33848.50390625
paragliders,ensemble,23.0,27791.480826220435,153467,65.89605603259267,4689.35986328125,27113.06640625,44899.3125
paragliders,ensemble,25.0,31418.267483445095,153603,78.00710895477383,4687.81689453125,30867.14453125,51518.28515625
paragliders,ensemble,29.0,41886.31124736726,153967,109.35512501329426,5115.345703125,41702.17578125,70003.4609375
paragliders,ensemble,32.0,48654.59418411072,154197,120.40441133720157,5419.12841796875,48861.33203125,83486.8125
paragliders,ensemble,37.0,61020.69596148621,154260,148.70665012697597,5912.658203125,61286.69140625,108542.28125
paragliders,ensemble,41.0,71428.70074373292,154293,174.02781887606807,6378.64453125,70963.984375,131526.4375
paragliders,ensemble,46.0,84646.65828518698,154334,206.26669563855035,7093.044921875,80632.328125,163074.21875
paragliders,ensemble,52.0,100162.53927008064,154369,247.37177467463087,7668.017578125,87858.3125,202735.09375
paragliders,ensemble,59.0,120759.15103126738,154434,301.4318008738445,8000.7099609375,95369.078125,257761.984375
paragliders,ensemble,67.0,143035.82865192354,154547,366.7414409048932,8462.9091796875,103385.125,321728.0625
